Sample,mlg.country,id,pondID,year,long,lat,SC,Nonindependent,WildSequenced,Sex,Species,AxCF1Hybrid,LabGenerated,BioProject,Continent,Origin,Library.Name,Sample.Name,Isolate,geo_loc_name_country,geo_loc_name_country_continent,cloneID,dna.seq,Country,isolate.name,Reproduction,Monoisolate,PoolSeq,IndividualSeq,Sexual.phenotype,cont,country,mean.depth,mean.miss
index_8nt_N7_10-index_8nt_N5_184_SL378835_Spring_2018_Pond19_50,Daphnia.obtusa.Europe.GBR.1567,index_8nt_N7_10-index_8nt_N5_184_SL378835_Spring_2018_Pond19_50,Pond19,2018,-0.607703,51.087745,,NA,NA,,Daphnia obtusa,NA,NA,,Europe,Dorthe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daphnia.obtusa.Europe,Daphnia.obtusa.Europe.GBR,12.4932,0.0515681
March15_2019_DBunk_MomPE1,Daphnia.obtusa.Europe.GBR.240,March15_2019_DBunk_MomPE1,DBunk,2019,-2.09237,50.64259,G,0,1,female,Daphnia obtusa,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daphnia.obtusa.Europe,Daphnia.obtusa.Europe.GBR,17.7511,0.0542075
March15_2019_DBunk_MomPE20,Daphnia.obtusa.Europe.GBR.252,March15_2019_DBunk_MomPE20,DBunk,2019,-2.09237,50.64259,G,0,1,female,Daphnia obtusa,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daphnia.obtusa.Europe,Daphnia.obtusa.Europe.GBR,12.4208,0.0593927
March20_2018_DBunk_10,Daphnia.obtusa.Europe.GBR.327,March20_2018_DBunk_10,DBunk,2018,-2.09237,50.64259,G,0,1,female,Daphnia obtusa,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daphnia.obtusa.Europe,Daphnia.obtusa.Europe.GBR,16.2228,0.0562737
March20_2018_DBunk_18,Daphnia.obtusa.Europe.GBR.335,March20_2018_DBunk_18,DBunk,2018,-2.09237,50.64259,G,0,1,female,Daphnia obtusa,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daphnia.obtusa.Europe,Daphnia.obtusa.Europe.GBR,17.5591,0.0568888
March20_2018_DBunk_21,Daphnia.obtusa.Europe.GBR.339,March20_2018_DBunk_21,DBunk,2018,-2.09237,50.64259,G,0,1,female,Daphnia obtusa,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daphnia.obtusa.Europe,Daphnia.obtusa.Europe.GBR,5.31852,0.129605
March20_2018_DBunk_22,Daphnia.obtusa.Europe.GBR.340,March20_2018_DBunk_22,DBunk,2018,-2.09237,50.64259,G,0,1,female,Daphnia obtusa,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daphnia.obtusa.Europe,Daphnia.obtusa.Europe.GBR,9.46002,0.0827185
March20_2018_DBunk_23,Daphnia.obtusa.Europe.GBR.341,March20_2018_DBunk_23,DBunk,2018,-2.09237,50.64259,G,0,1,female,Daphnia obtusa,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daphnia.obtusa.Europe,Daphnia.obtusa.Europe.GBR,14.4649,0.0673486
March20_2018_DBunk_42,Daphnia.obtusa.Europe.GBR.344,March20_2018_DBunk_42,DBunk,2018,-2.09237,50.64259,G,0,1,female,Daphnia obtusa,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daphnia.obtusa.Europe,Daphnia.obtusa.Europe.GBR,11.6228,0.0669662
March20_2018_DBunk_38,Daphnia.obtusa.Europe.GBR.357,March20_2018_DBunk_38,DBunk,2018,-2.09237,50.64259,G,0,1,female,Daphnia obtusa,0,0,,Europe,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daphnia.obtusa.Europe,Daphnia.obtusa.Europe.GBR,25.3951,0.0506188
