model	size	theta	ll	NA_pop_est	EU_pop_est	t_est	m_est
split_mig	20	980.1320829646643	-890.7126719251324	1183792.9661544168	269419.39724131714	4242166.771360519	2.381019950007677e-08
split_mig	20	719.4098458954118	-180462.47720385305	1542830.2122444115	834112.1636316809	2017852.5343043979	1.5125433321725065e-05
split_mig	20	1149.552152888173	-22535.063601846727	941214.1603726043	608026.3173236488	3824063.4375636945	2.760111153433636e-07
split_mig	20	542.1862194631237	-178258.4057417106	1074476.4160229475	985568.6316063224	2313315.2162747295	1.4613414130620154e-05
split_mig	20	1135.4554875016793	-8840.841579552092	2118442.3673595404	174552.852558894	2787023.1505288617	1.655884472507662e-07
split_mig	20	4912.412415789497	-10711.957182163733	1463972.2175579963	14183.281053140037	2326693.800501406	4.670727442572441e-11
split_mig	20	934.2783840859105	-685.7125035062015	1305049.8207640743	211901.2254114421	4100766.724275008	1.8824555175093842e-08
split_mig	20	935.0499306059651	-685.8480916011225	1302084.8282686211	214358.52890686528	4098846.5908485726	1.8876796239296617e-08
split_mig	20	935.1974857418976	-685.8183280137958	1303350.2866302233	212584.02536672325	4101332.8595199753	1.855075727659468e-08
split_mig	20	938.2840699072235	-685.7974291591265	1304093.4739778533	212627.09451133554	4097570.2043156335	1.859758757435363e-08
split_mig	100	889.5029160394041	-30335.78313039201	1427115.081150284	404986.2018710131	3460624.8730752743	2.4627224842594057e-07
split_mig	100	947.1522992945212	-3051.9493036968574	1454471.8269525978	232483.75980738818	4111525.434970792	2.4480709536473673e-08
split_mig	100	217773.01099158995	-14138.068932678978	697209.9288464267	349783.3723126962	50385799.30747836	1.040745472213404e-07
split_mig	100	933.4109540547736	-2973.9322692069945	1448744.517096664	236559.5378243063	4096170.6769685387	1.8620143373756626e-08
split_mig	100	2791.547828756826	-339569.6166793992	3187557.0479435343	545721.2994026236	553976.8886450961	3.602930931737164e-06
split_mig	100	2257.838289757362	-57562.54948461529	4115097.5493992344	31753.98270953227	3226970.3210287415	1.4428159009984431e-06
split_mig	100	934.0158978978372	-2973.760176428506	1450450.2890131813	235653.46958266883	4093197.2480237144	1.863283433593849e-08
split_mig	100	975.2662726281884	-3374.0212206704614	1444483.5605697697	244150.39547925896	4101280.511551711	3.2378696581574824e-08
split_mig	100	5252.992545220641	-36099.466520614755	11145676.634385463	31109.16257349329	140643.75252401998	4.578379448811501e-07
split_mig	100	1043.6344200502715	-341954.23604341084	1401563.5236482741	1171814.8561599778	1125833.910667129	2.6508773920452007e-06
split_no_mig	20	5179.1803631495695	-1422.6860178726624	1206702.934807523	250534.59089656398	1868239.7701764926	NA
split_no_mig	20	5178.771739260705	-1422.684849374124	1206772.2377454785	250539.2303033808	1868262.6139058548	NA
split_no_mig	20	5178.511322229651	-1422.6829654822163	1206631.3982751893	250579.64553146547	1868755.8759523588	NA
split_no_mig	20	5176.701725699707	-1422.6776054925651	1206308.5235749625	250757.1279699204	1870324.7943665413	NA
split_no_mig	20	5178.701286807694	-1422.6829281361677	1206441.0164059298	250661.7979800109	1868867.2856186547	NA
split_no_mig	20	5177.518092861148	-1422.679557272817	1206622.3519589158	250620.7562563845	1869304.0611005141	NA
split_no_mig	20	5173.222520383823	-1422.6726292780427	1207627.8209480594	250650.72294562467	1868624.449339185	NA
split_no_mig	20	5178.37477363644	-1422.6835701706873	1206814.9781145246	250539.22701723356	1868400.563970205	NA
split_no_mig	20	5161.235057384694	-1422.6528489806997	1208659.0130253227	250920.1635830747	1872263.116024123	NA
split_no_mig	20	5176.697725772119	-1422.6794223819252	1206820.1889113963	250528.6769316108	1869689.587936818	NA
split_no_mig	100	558.1606585908536	-20084.847309231132	971170.2527399941	1009644.6265843841	2395556.741662656	NA
split_no_mig	100	5346.4023740195635	-5303.893648376879	1428233.6375048973	258977.0983118158	1597987.6653045479	NA
split_no_mig	100	5346.838243665044	-5303.893326645151	1428039.1494174968	259024.93135079177	1598294.935164601	NA
split_no_mig	100	5346.380445480042	-5303.893491171837	1428232.0821001283	258978.89216543507	1597998.792906994	NA
split_no_mig	100	5343.133343948387	-5303.88099941416	1428568.825865859	259027.31323375666	1598368.5578283782	NA
