model   size    theta   ll      NA_pop_est      EU_pop_est      t_est   m_est
split_mig	20	13373.368182842964	-5637.757610260603	32921.06  5346.4174 96506.324 9.211109e-07
split_mig	20	13337.291028524913	-5635.935586553998	32838.23  5369.0317 96665.124 9.141185e-07
split_mig	20	73906.65420136758	-835025.2325418664	257399.11  5572.9116  8798.565 5.895292e-05
split_mig	20	9352.251049065471	-2293080.1996011194	23138.23 30444.8092 53719.055 3.418659e-04
split_mig	20	12920.176409214906	-6240.398138386335	32588.27  6119.1895 94089.941 7.839147e-07
split_no_mig	20	74455.77276230192	-16600.12198469494	30700.26  6223.6162 42270.755           NA
split_no_mig	20	74455.55587589167	-16600.122876141988	30700.74  6223.6712 42269.161           NA
split_no_mig	20	74451.31000043999	-16600.100026774086	30699.51  6224.9243 42271.921           NA
split_no_mig	20	74451.0190202009	-16600.117475930536	30703.45  6222.7159 42270.833           NA
split_no_mig	20	74348.5368780893	-16599.84393287736	30697.97  6233.6023 42358.567           NA
split_mig	20	13254.96868763651	-5638.790897761421	32863.83  5343.3306 96815.621 9.337102e-07
split_mig	20	13277.517520754578	-5635.439733048768	32802.22  5376.7169 96788.493 9.154115e-07
split_mig	20	77730.88955226234	-295824.4108221542	177113.19   107.3856  9812.657 1.758542e-09
split_mig	20	9270.233234776222	-2239633.442949666	29712.28 21049.9375 59938.355 3.315117e-04	
split_mig	20	13249.453355847418	-5635.375646054972	32784.95  5397.7313 96755.576 9.108009e-07

