VCF	n	sfs			AIC			BIC			normalized_ll		SAP
busco	20	sfs_empirical		NA			NA			NA			0.01423781579155403	
busco	20	sfs_from_ests		16502.727059045683	16516.479376281375	-3.774635228397063	0.003809790275123335	
busco	20	sfs_split_mig_model	1379.4250115017778	1393.1773287374706	-3.489374807789013	0.011075634001748895	
busco	20	sfs_split_no_mig_model	2851.3056968241617	2861.6199347509314	-3.5171756030716423	0.0052744303863579796	
busco	100	sfs_empirical		NA			NA			NA			0.012798695764944768	
busco	100	sfs_from_ests		29372.78111012153	29398.96811809616	-4.758038564030495	0.004196439254568215	
busco	100	sfs_split_mig_model	6083.117887121645	6109.304895096277	-4.467354420192852	0.010372067226925828	
busco	100	sfs_split_no_mig_model	11427.12391947053	11446.764175451504	-4.534079265957455	0.00425268327842894	
filt	20	sfs_empirical		NA			NA			NA			0.018263720727017378	
filt	20	sfs_from_ests		257370.08192182303	257383.83423905872	-3.8305639089964485	0.0038097902751233364	
filt	20	sfs_split_mig_model	11278.751336580008	11292.5036538157	-3.513468319173573	0.013670579308093718	
filt	20	sfs_split_no_mig_model	33205.68779041526	33216.00202834202	-3.5417243695695	0.00788540695806072	
filt	100	sfs_empirical		NA			NA			NA			0.01597512014836925	
filt	100	sfs_from_ests		417536.4136099284	417562.60061790305	-4.8202611068291725	0.004196439254568224	
filt	100	sfs_split_mig_model	43132.2833265573	43158.47033453193	-4.5020936845207284	0.012723019822410352	
filt	100	sfs_split_no_mig_model	122075.52616124725	122095.16641722823	-4.569181097250969	0.006296499646643037	
