clone,light_trt,genotype,day,hour,position,id,meani,sd,uci,lci,med,exp,active,ID
D8_18030,White,1|1,1,1,V12,1,0.080682646,0.075066073,0.186450448,0.002521008,0.081967213,Oct27.23,0,D8_18030_White_1
D8_18030,White,1|1,1,2,V12,1,0,0,0,0,0,Oct27.23,0,D8_18030_White_1
D8_18030,White,1|1,1,3,V12,1,0.276919032,0.167345753,0.481092437,0.047107438,0.277310924,Oct27.23,1,D8_18030_White_1
D8_18030,White,1|1,1,4,V12,1,0.118611216,0.200024383,0.418032787,0,0,Oct27.23,1,D8_18030_White_1
D8_18030,White,1|1,1,5,V12,1,0.047859144,0.084082685,0.181176471,0,0,Oct27.23,0,D8_18030_White_1
D8_18030,White,1|1,2,6,V12,1,0.073520401,0.064709487,0.159754098,0,0.067226891,Oct27.23,0,D8_18030_White_1
D8_18030,White,1|1,2,7,V12,1,0.232657485,0.206598826,0.497520661,0.007563025,0.243697479,Oct27.23,1,D8_18030_White_1
D8_18030,White,1|1,2,8,V12,1,0.118073676,0.130988863,0.263275227,0,0.05785124,Oct27.23,1,D8_18030_White_1
D8_18030,White,1|1,2,9,V12,1,0.120352414,0.178436395,0.404817927,0,0.049180328,Oct27.23,1,D8_18030_White_1
D8_18030,White,1|1,2,10,V12,1,0.237588502,0.209107585,0.523047252,0.020911174,0.159663866,Oct27.23,1,D8_18030_White_1
D8_18030,White,1|1,2,11,V12,1,0.236595573,0.167505085,0.493034238,0.099132112,0.166666667,Oct27.23,1,D8_18030_White_1
D8_18030,White,1|1,2,12,V12,1,0.188030047,0.073789166,0.275935829,0.097377049,0.18487395,Oct27.23,1,D8_18030_White_1
D8_18030,Blue,1|1,1,1,V12,2,0.717948098,0.303528078,1.025661504,0.322457627,0.639344262,Oct27.23,1,D8_18030_Blue_2
D8_18030,Blue,1|1,1,2,V12,2,0.588482364,0.164400496,0.847598039,0.451012536,0.520661157,Oct27.23,1,D8_18030_Blue_2
D8_18030,Blue,1|1,1,3,V12,2,0.645703568,0.106211128,0.775449684,0.504812834,0.672131148,Oct27.23,1,D8_18030_Blue_2
D8_18030,Blue,1|1,1,4,V12,2,0.472084189,0.259615021,0.884295357,0.309049587,0.363636364,Oct27.23,1,D8_18030_Blue_2
D8_18030,Blue,1|1,1,5,V12,2,0.738858064,0.167657023,0.944067797,0.516680672,0.73553719,Oct27.23,1,D8_18030_Blue_2
D8_18030,Blue,1|1,2,6,V12,2,0.86210273,0.212349163,1.124300299,0.604711393,0.85,Oct27.23,1,D8_18030_Blue_2
D8_18030,Blue,1|1,2,7,V12,2,1.024204094,0.112168844,1.172773109,0.915459407,0.983471074,Oct27.23,1,D8_18030_Blue_2
D8_18030,Blue,1|1,2,8,V12,2,1.024734671,0.098803242,1.149878464,0.890756303,1.032786885,Oct27.23,1,D8_18030_Blue_2
D8_18030,Blue,1|1,2,9,V12,2,1.213810635,0.113458919,1.348257336,1.076470588,1.173553719,Oct27.23,1,D8_18030_Blue_2
D8_18030,Blue,1|1,2,10,V12,2,1.203528514,0.127186148,1.349927078,1.020908702,1.220338983,Oct27.23,1,D8_18030_Blue_2
