slurmID,Sample,Species,Continent,bam,fast.name,fast.wildcard,Origin,for.fasta,rev.fasta
1,index_8nt_N7_10-index_8nt_N5_184_SL378835_Spring_2018_Pond19_50,Daphnia obtusa,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/bam_dorthe_fin,NA,NA,Dorthe,HHY27DSXX_s1_1_index_8nt_N7_10-index_8nt_N5_184_SL378835,HHY27DSXX_s1_2_index_8nt_N7_10-index_8nt_N5_184_SL378835
2,March15_2019_DBunk_MomPE1,Daphnia obtusa,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,index_8nt_N7_687-index_8nt_N5_700_SL406372_March15_2019_DBunk_MomPE1,index_8nt_N7_687-index_8nt_N5_700_SL406372,Europe,NA,NA
3,March15_2019_DBunk_MomPE20,Daphnia obtusa,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,index_8nt_N7_472-index_8nt_N5_239_SL406332_March15_2019_DBunk_MomPE20,index_8nt_N7_472-index_8nt_N5_239_SL406332,Europe,NA,NA
4,March20_2018_DBunk_10,Daphnia obtusa,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,index_8nt_N7_520-index_8nt_N5_163_SL378900_March20_2018_DBunk_10,index_8nt_N7_520-index_8nt_N5_163_SL378900,Europe,NA,NA
5,March20_2018_DBunk_18,Daphnia obtusa,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,index_8nt_N7_3-index_8nt_N5_15_SL378844_March20_2018_DBunk_18,index_8nt_N7_3-index_8nt_N5_15_SL378844,Europe,NA,NA
6,March20_2018_DBunk_21,Daphnia obtusa,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,index_8nt_N7_560-index_8nt_N5_111_SL378917_March20_2018_DBunk_21,index_8nt_N7_560-index_8nt_N5_111_SL378917,Europe,NA,NA
7,March20_2018_DBunk_22,Daphnia obtusa,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,index_8nt_N7_677-index_8nt_N5_13_SL378922_March20_2018_DBunk_22,index_8nt_N7_677-index_8nt_N5_13_SL378922,Europe,NA,NA
8,March20_2018_DBunk_23,Daphnia obtusa,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,index_8nt_N7_422-index_8nt_N5_11_SL378886_March20_2018_DBunk_23,index_8nt_N7_422-index_8nt_N5_11_SL378886,Europe,NA,NA
9,March20_2018_DBunk_42,Daphnia obtusa,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,index_8nt_N7_677-index_8nt_N5_26_SL378925_March20_2018_DBunk_42,index_8nt_N7_677-index_8nt_N5_26_SL378925,Europe,NA,NA
10,March20_2018_DBunk_38,Daphnia obtusa,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,index_8nt_N7_3-index_8nt_N5_6_SL378841_March20_2018_DBunk_38,index_8nt_N7_3-index_8nt_N5_6_SL378841,Europe,NA,NA
11,March20_2018_DBunk_40,Daphnia obtusa,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,index_8nt_N7_206-index_8nt_N5_163_SL378865_March20_2018_DBunk_40,index_8nt_N7_206-index_8nt_N5_163_SL378865,Europe,NA,NA
12,March20_2018_DBunk_41,Daphnia obtusa,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,index_8nt_N7_677-index_8nt_N5_11_SL378921_March20_2018_DBunk_41,index_8nt_N7_677-index_8nt_N5_11_SL378921,Europe,NA,NA
13,March20_2018_DBunk_43,Daphnia obtusa,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,index_8nt_N7_422-index_8nt_N5_26_SL378889_March20_2018_DBunk_43,index_8nt_N7_422-index_8nt_N5_26_SL378889,Europe,NA,NA
14,SRR5012393,Daphnia obtusa,NorthAmerica,/scratch/csm6hg/daphnia_phylo/all_bam/final_bam,NA,NA,SRA,NA,NA
15,SRR5012394,Daphnia obtusa,NorthAmerica,/scratch/csm6hg/daphnia_phylo/all_bam/final_bam,NA,NA,SRA,NA,NA
16,SRR5012771,Daphnia obtusa,NorthAmerica,/scratch/csm6hg/daphnia_phylo/all_bam/final_bam,NA,NA,SRA,NA,NA
17,SRR5012396,Daphnia obtusa,NorthAmerica,/scratch/csm6hg/daphnia_phylo/all_bam/final_bam,NA,NA,SRA,NA,NA
18,SRR5012770,Daphnia obtusa,NorthAmerica,/scratch/csm6hg/daphnia_phylo/all_bam/final_bam,NA,NA,SRA,NA,NA
19,SRR5012773,Daphnia obtusa,NorthAmerica,/scratch/csm6hg/daphnia_phylo/all_bam/final_bam,NA,NA,SRA,NA,NA
20,SRR10160681,Daphnia pulex,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/final_bam,NA,NA,SRA,NA,NA
21,April_2017_D8_60,Daphnia pulex,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,5008-AB_index_8nt_130_SL282912_April_2017_D8_60,5008-AB_index_8nt_130_SL282912,Europe,NA,NA
22,April_2017_D8_9,Daphnia pulex,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,index_8nt_186_SL263044_April_2017_D8_9,index_8nt_186_SL263044,Europe,NA,NA
23,April29_2018_D8_MomPE1,Daphnia pulex,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,index_8nt_N7_303-index_8nt_N5_438_SL406316_April29_2018_D8_MomPE1,index_8nt_N7_303-index_8nt_N5_438_SL406316,Europe,NA,NA
24,April_2017_DBunk_103,Daphnia pulex,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,index_8nt_389_SL263065_April_2017_DBunk_103,index_8nt_389_SL263065,Europe,NA,NA
25,April_2017_DBunk_111,Daphnia pulex,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,index_8nt_396_SL263066_April_2017_DBunk_111,index_8nt_396_SL263066,Europe,NA,NA
26,April_2017_DBunk_121,Daphnia pulex,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,index_8nt_409_SL263068_April_2017_DBunk_121,index_8nt_409_SL263068,Europe,NA,NA
27,April_2017_DBunk_128,Daphnia pulex,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,index_8nt_68_SL263034_April_2017_DBunk_128,index_8nt_68_SL263034,Europe,NA,NA
28,April_2017_DBunk_129,Daphnia pulex,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,index_8nt_645_SL263108_April_2017_DBunk_129,index_8nt_645_SL263108,Europe,NA,NA
29,April29_2018_D8_MomPE2,Daphnia pulex,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,index_8nt_N7_2-index_8nt_N5_685_SL406352_April29_2018_D8_MomPE2,index_8nt_N7_2-index_8nt_N5_685_SL406352,Europe,NA,NA
30,April_2017_DBunk_13,Daphnia pulex,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,5008-AB_index_8nt_572_SL282960_April_2017_DBunk_13,5008-AB_index_8nt_572_SL282960,Europe,NA,NA
31,April_2017_DBunk_131,Daphnia pulex,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,index_8nt_93_SL263037_April_2017_DBunk_131,index_8nt_93_SL263037,Europe,NA,NA
32,April_2017_DBunk_132,Daphnia pulex,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,index_8nt_524_SL263084_April_2017_DBunk_132,index_8nt_524_SL263084,Europe,NA,NA
33,April_2017_DBunk_133,Daphnia pulex,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,index_8nt_437_SL263072_April_2017_DBunk_133,index_8nt_437_SL263072,Europe,NA,NA
34,April_2017_DBunk_137,Daphnia pulex,Europe,/scratch/csm6hg/daphnia_phylo/all_bam/Euro_bams,index_8nt_488_SL263079_April_2017_DBunk_137,index_8nt_488_SL263079,Europe,NA,NA
