time_index	cont	x1	meany1	uciy1	lciy1	analysis
1	Daphnia.pulex.Europe	0	321036.5451	1192295.04	26143.08925	eSMC
1	Daphnia.pulex.NorthAmerica	0	810639.4203	2540184.416	170749.6855	eSMC
2	Daphnia.pulex.Europe	91321.10662	321036.5451	1192295.04	26143.08925	eSMC
2	Daphnia.pulex.NorthAmerica	231636.6532	810639.4203	2540184.416	170749.6855	eSMC
3	Daphnia.pulex.Europe	185847.1091	537938.519	1281572.173	209897.594	eSMC
3	Daphnia.pulex.NorthAmerica	471402.548	1020606.598	2559094.915	470166.7809	eSMC
4	Daphnia.pulex.Europe	283811.1652	537938.519	1281572.173	209897.594	eSMC
4	Daphnia.pulex.NorthAmerica	719889.0911	1020606.598	2559094.915	470166.7809	eSMC
5	Daphnia.pulex.Europe	385472.8399	575972.3286	1331050.204	299095.6794	eSMC
5	Daphnia.pulex.NorthAmerica	977754.6704	1126392.454	2675152.236	543491.3427	eSMC
6	Daphnia.pulex.Europe	491122.2497	575972.3286	1331050.204	299095.6794	eSMC
6	Daphnia.pulex.NorthAmerica	1245735.169	1126392.454	2675152.236	543491.3427	eSMC
7	Daphnia.pulex.Europe	601085.0546	589935.0038	1364447.782	325412.4592	eSMC
7	Daphnia.pulex.NorthAmerica	1524656.626	1226412.831	2729261.081	584381.8918	eSMC
8	Daphnia.pulex.Europe	715728.5118	589935.0038	1364447.782	325412.4592	eSMC
8	Daphnia.pulex.NorthAmerica	1815450.591	1226412.831	2729261.081	584381.8918	eSMC
9	Daphnia.pulex.Europe	835468.8761	598086.0999	1379647.937	329305.6839	eSMC
9	Daphnia.pulex.NorthAmerica	2119172.899	1312392.416	2757269.558	619827.5404	eSMC
10	Daphnia.pulex.Europe	960780.524	598086.0999	1379647.937	329305.6839	eSMC
10	Daphnia.pulex.NorthAmerica	2437026.808	1312392.416	2757269.558	619827.5404	eSMC
11	Daphnia.pulex.Europe	1092207.304	604177.7309	1390750.579	330522.0127	eSMC
11	Daphnia.pulex.NorthAmerica	2770391.795	1383875.352	2774934.664	654355.1958	eSMC
12	Daphnia.pulex.Europe	1230376.803	604177.7309	1390750.579	330522.0127	eSMC
12	Daphnia.pulex.NorthAmerica	3120859.737	1383875.352	2774934.664	654355.1958	eSMC
13	Daphnia.pulex.Europe	1376018.47	609494.4887	1399605.812	329320.9958	eSMC
13	Daphnia.pulex.NorthAmerica	3490280.886	1444185.111	2782577.88	687471.7526	eSMC
14	Daphnia.pulex.Europe	1529986.927	609494.4887	1399605.812	329320.9958	eSMC
14	Daphnia.pulex.NorthAmerica	3880823.001	1444185.111	2782577.88	687471.7526	eSMC
15	Daphnia.pulex.Europe	1693292.359	614591.7153	1402727.428	326960.1697	eSMC
15	Daphnia.pulex.NorthAmerica	4295048.421	1495897.28	2789447.911	720071.1153	eSMC
16	Daphnia.pulex.Europe	1867140.719	614591.7153	1402727.428	326960.1697	eSMC
16	Daphnia.pulex.NorthAmerica	4736016.056	1495897.28	2789447.911	720071.1153	eSMC
17	Daphnia.pulex.Europe	2052987.828	619804.7364	1402838.678	324684.3993	eSMC
17	Daphnia.pulex.NorthAmerica	5207418.604	1541176.092	2793423.365	755582.3389	eSMC
18	Daphnia.pulex.Europe	2252613.559	619804.7364	1402838.678	324684.3993	eSMC
18	Daphnia.pulex.NorthAmerica	5713770.726	1541176.092	2793423.365	755582.3389	eSMC
19	Daphnia.pulex.Europe	2468225.774	625508.5295	1405372.314	321731.4184	eSMC
19	Daphnia.pulex.NorthAmerica	6260672.682	1582141.469	2794173.965	793059.8684	eSMC
20	Daphnia.pulex.Europe	2702609.595	625508.5295	1405372.314	321731.4184	eSMC
20	Daphnia.pulex.NorthAmerica	6855188.955	1582141.469	2794173.965	793059.8684	eSMC
21	Daphnia.pulex.Europe	2959348.024	632395.9621	1409790.302	319692.8677	eSMC
21	Daphnia.pulex.NorthAmerica	7506407.851	1621105.623	2792130.457	830635.6247	eSMC
22	Daphnia.pulex.Europe	3243159.189	632395.9621	1409790.302	319692.8677	eSMC
22	Daphnia.pulex.NorthAmerica	8226296.942	1621105.623	2792130.457	830635.6247	eSMC
23	Daphnia.pulex.Europe	3560433.078	641789.1237	1413948.12	318576.3663	eSMC
23	Daphnia.pulex.NorthAmerica	9031064.477	1661201.115	2791577.335	874224.7541	eSMC
24	Daphnia.pulex.Europe	3920128.548	641789.1237	1413948.12	318576.3663	eSMC
24	Daphnia.pulex.NorthAmerica	9943434.659	1661201.115	2791577.335	874224.7541	eSMC
25	Daphnia.pulex.Europe	4335366.493	656726.9749	1418903.531	322104.5614	eSMC
25	Daphnia.pulex.NorthAmerica	10996688.74	1708701.087	2784284.235	924257.5274	eSMC
26	Daphnia.pulex.Europe	4826488.743	656726.9749	1418903.531	322104.5614	eSMC
26	Daphnia.pulex.NorthAmerica	12242423.91	1708701.087	2784284.235	924257.5274	eSMC
27	Daphnia.pulex.Europe	5427573.798	689005.2416	1421487.362	338750.2957	eSMC
27	Daphnia.pulex.NorthAmerica	13767080.53	1784984.233	2783693.982	1006816.374	eSMC
28	Daphnia.pulex.Europe	6202507.212	689005.2416	1421487.362	338750.2957	eSMC
28	Daphnia.pulex.NorthAmerica	15732704.79	1784984.233	2783693.982	1006816.374	eSMC
29	Daphnia.pulex.Europe	7294714.517	766920.9642	1435275.579	379698.1459	eSMC
29	Daphnia.pulex.NorthAmerica	18503096.59	1947746.088	2841807.798	1155019.571	eSMC
30	Daphnia.pulex.Europe	9161855.236	766920.9642	1435275.579	379698.1459	eSMC
30	Daphnia.pulex.NorthAmerica	23239112.64	1947746.088	2841807.798	1155019.571	eSMC
0	Daphnia.pulex.Europe	0	2089675.28	12591071	11817.11191	MSMC2
0	Daphnia.pulex.NorthAmerica	0	6745002.287	15561539.16	63569.01336	MSMC2
1	Daphnia.pulex.Europe	6978.546186	156149.2185	874371.5083	12627.348	MSMC2
1	Daphnia.pulex.NorthAmerica	18023.16276	592709.8184	2436924.218	59573.06708	MSMC2
2	Daphnia.pulex.Europe	14889.69576	153141.588	549477.0089	28921.34645	MSMC2
2	Daphnia.pulex.NorthAmerica	38454.90573	507055.3305	1423787.613	132263.2684	MSMC2
3	Daphnia.pulex.Europe	23858.0697	180533.9805	556573.2993	49201.54212	MSMC2
3	Daphnia.pulex.NorthAmerica	61617.11049	536350.7548	1224706.549	217805.2912	MSMC2
4	Daphnia.pulex.Europe	34024.95767	211645.0717	551837.2638	74230.6171	MSMC2
4	Daphnia.pulex.NorthAmerica	87874.66643	559866.8111	1173277.934	285097.7338	MSMC2
5	Daphnia.pulex.Europe	45550.53927	241073.5595	562131.1281	100225.6753	MSMC2
5	Daphnia.pulex.NorthAmerica	117641.2249	569441.5034	1189405.128	310119.7398	MSMC2
6	Daphnia.pulex.Europe	58616.36342	266251.5716	575423.265	133907.5199	MSMC2
6	Daphnia.pulex.NorthAmerica	151385.7343	566362.7737	1224896.434	323678.9752	MSMC2
7	Daphnia.pulex.Europe	73428.29234	285705.3485	591481.5886	168158.5995	MSMC2
7	Daphnia.pulex.NorthAmerica	189639.8056	558661.3707	1271538.749	341593.0477	MSMC2
8	Daphnia.pulex.Europe	90219.66178	299268.6118	607381.0598	199222.9595	MSMC2
8	Daphnia.pulex.NorthAmerica	233006.0397	552619.7348	1311751.815	356411.9577	MSMC2
9	Daphnia.pulex.Europe	109255.0037	307612.2836	622139.434	207269.7519	MSMC2
9	Daphnia.pulex.NorthAmerica	282167.6954	552136.2062	1336675.94	368159.5025	MSMC2
10	Daphnia.pulex.Europe	130834.1518	312500.5843	633408.9873	209524.3439	MSMC2
10	Daphnia.pulex.NorthAmerica	337899.2394	566485.867	1361501.374	384152.868	MSMC2
11	Daphnia.pulex.Europe	155297.0969	312500.5843	633408.9873	209524.3439	MSMC2
11	Daphnia.pulex.NorthAmerica	401078.5843	566485.867	1361501.374	384152.868	MSMC2
12	Daphnia.pulex.Europe	183029.2695	312392.6102	649620.1067	216162.3705	MSMC2
12	Daphnia.pulex.NorthAmerica	472701.1123	608678.5174	1386365.382	386450.3853	MSMC2
13	Daphnia.pulex.Europe	214467.4941	312392.6102	649620.1067	216162.3705	MSMC2
13	Daphnia.pulex.NorthAmerica	553895.1502	608678.5174	1386365.382	386450.3853	MSMC2
14	Daphnia.pulex.Europe	250107.078	312326.6212	661852.2563	212608.5737	MSMC2
14	Daphnia.pulex.NorthAmerica	645939.7804	673264.4503	1403266.485	424624.0598	MSMC2
15	Daphnia.pulex.Europe	290509.486	312326.6212	661852.2563	212608.5737	MSMC2
15	Daphnia.pulex.NorthAmerica	750285.0386	673264.4503	1403266.485	424624.0598	MSMC2
16	Daphnia.pulex.Europe	336311.1355	316827.738	670467.3494	209394.0328	MSMC2
16	Daphnia.pulex.NorthAmerica	868574.942	751850.804	1414356.444	503536.2023	MSMC2
17	Daphnia.pulex.Europe	388233.6413	316827.738	670467.3494	209394.0328	MSMC2
17	Daphnia.pulex.NorthAmerica	1002672.827	751850.804	1414356.444	503536.2023	MSMC2
18	Daphnia.pulex.Europe	447094.9252	327413.0848	676866.0819	213759.8361	MSMC2
18	Daphnia.pulex.NorthAmerica	1154691.095	835704.5691	1414717.479	604248.294	MSMC2
19	Daphnia.pulex.Europe	513822.4373	327413.0848	676866.0819	213759.8361	MSMC2
19	Daphnia.pulex.NorthAmerica	1327025.134	835704.5691	1414717.479	604248.294	MSMC2
20	Daphnia.pulex.Europe	589467.3045	344948.5035	681543.6096	227455.8209	MSMC2
20	Daphnia.pulex.NorthAmerica	1522389.128	918414.925	1412392.191	693814.5215	MSMC2
21	Daphnia.pulex.Europe	675221.0109	344948.5035	681543.6096	227455.8209	MSMC2
21	Daphnia.pulex.NorthAmerica	1743861.753	918414.925	1412392.191	693814.5215	MSMC2
22	Daphnia.pulex.Europe	772434.8096	370290.8463	684037.133	251904.7983	MSMC2
22	Daphnia.pulex.NorthAmerica	1994930.847	996955.246	1409681.146	781180.8983	MSMC2
23	Daphnia.pulex.Europe	882640.0543	370290.8463	684037.133	251904.7983	MSMC2
23	Daphnia.pulex.NorthAmerica	2279552.787	996955.246	1409681.146	781180.8983	MSMC2
24	Daphnia.pulex.Europe	1007572.971	405535.2322	685916.6052	287881.2949	MSMC2
24	Daphnia.pulex.NorthAmerica	2602211.394	1069960.67	1403380.814	854529.2511	MSMC2
25	Daphnia.pulex.Europe	1149201.671	405535.2322	685916.6052	287881.2949	MSMC2
25	Daphnia.pulex.NorthAmerica	2967988.825	1069960.67	1403380.814	854529.2511	MSMC2
26	Daphnia.pulex.Europe	1309757.243	456021.0414	690546.8065	346721.5731	MSMC2
26	Daphnia.pulex.NorthAmerica	3382648.326	1138229.173	1401343.425	916309.3508	MSMC2
27	Daphnia.pulex.Europe	1491769.268	456021.0414	690546.8065	346721.5731	MSMC2
27	Daphnia.pulex.NorthAmerica	3852722.199	1138229.173	1401343.425	916309.3508	MSMC2
28	Daphnia.pulex.Europe	1698104.981	533255.5669	718231.4418	424015.8184	MSMC2
28	Daphnia.pulex.NorthAmerica	4385615.551	1207418.747	1477349.26	943826.4136	MSMC2
29	Daphnia.pulex.Europe	1932014.753	533255.5669	718231.4418	424015.8184	MSMC2
29	Daphnia.pulex.NorthAmerica	4989723.922	1207418.747	1477349.26	943826.4136	MSMC2
30	Daphnia.pulex.Europe	2197184.483	658840.8835	830797.6006	540816.3452	MSMC2
30	Daphnia.pulex.NorthAmerica	5674564.095	1279156.147	1584947.514	985707.3068	MSMC2
31	Daphnia.pulex.Europe	2497790.555	658840.8835	830797.6006	540816.3452	MSMC2
31	Daphnia.pulex.NorthAmerica	6450925.225	1279156.147	1584947.514	985707.3068	MSMC2
32	Daphnia.pulex.Europe	2838568.261	849790.1757	1066804.849	656212.846	MSMC2
32	Daphnia.pulex.NorthAmerica	7331037.851	1327655.652	1679747.29	984085.3381	MSMC2
33	Daphnia.pulex.Europe	3224888.273	849790.1757	1066804.849	656212.846	MSMC2
33	Daphnia.pulex.NorthAmerica	8328766.786	1327655.652	1679747.29	984085.3381	MSMC2
34	Daphnia.pulex.Europe	3662834.499	1011246.051	1418109.878	687177.1264	MSMC2
34	Daphnia.pulex.NorthAmerica	9459830.801	1290766.042	1666897.541	924970.3477	MSMC2
35	Daphnia.pulex.Europe	4159307.659	1011246.051	1418109.878	687177.1264	MSMC2
35	Daphnia.pulex.NorthAmerica	10742047.44	1290766.042	1666897.541	924970.3477	MSMC2
36	Daphnia.pulex.Europe	4722128.215	800982.9798	1538794.268	286466.9884	MSMC2
36	Daphnia.pulex.NorthAmerica	12195615.87	1080208.471	1593226.057	490026.2663	MSMC2
37	Daphnia.pulex.Europe	5360161.964	800982.9798	1538794.268	286466.9884	MSMC2
37	Daphnia.pulex.NorthAmerica	13843440.08	1080208.471	1593226.057	490026.2663	MSMC2
38	Daphnia.pulex.Europe	6083461.85	37657340.73	188648197.3	270422.3192	MSMC2
38	Daphnia.pulex.NorthAmerica	15711472.2	38948325.7	230588970.8	371086.0467	MSMC2
39	Daphnia.pulex.Europe	6903423.856	37657340.73	188648197.3	270422.3192	MSMC2
39	Daphnia.pulex.NorthAmerica	17829145.98	38948325.7	230588970.8	371086.0467	MSMC2
