Sample_ID,MLG_ID,Longitude,Latitude,Species,Continent,Accession,BioProject,BioSample
Spring_2018_Pond19_50,Daphnia.obtusa.Europe.GBR.1567,-0.607703,51.087745,Daphnia obtusa,Europe,SRR24967773,PRJNA982532,SAMN35708899
Spring_2018_Pond6_4,Daphnia.pulex.Europe.GBR.1569,0.828461,52.082493,Daphnia pulex,Europe,SRR24967761,PRJNA982532,SAMN35708901
Spring_2018_Pond6_19,Daphnia.pulex.Europe.GBR.1570,0.828461,52.082493,Daphnia pulex,Europe,SRR24967750,PRJNA982532,SAMN35708902
Spring_2018_Pond17_7,Daphnia.pulex.Europe.GBR.1571,-0.931099,51.345955,Daphnia pulex,Europe,SRR24967739,PRJNA982532,SAMN35708903
Spring_2018_Pond30_18,Daphnia.pulex.Europe.GBR.1573,-1.426357,54.047436,Daphnia pulex,Europe,SRR24967717,PRJNA982532,SAMN35708905
Spring_2018_Pond17_63,Daphnia.pulex.Europe.GBR.1574,-0.931099,51.345955,Daphnia pulex,Europe,SRR24967706,PRJNA982532,SAMN35708906
Spring_2018_Pond17_6,Daphnia.pulex.Europe.GBR.1575,-0.931099,51.345955,Daphnia pulex,Europe,SRR24967770,PRJNA982532,SAMN35708910
Spring_2018_Pond22_68,Daphnia.pulex.Europe.GBR.1576,-0.312748,53.581442,Daphnia pulex,Europe,SRR24967769,PRJNA982532,SAMN35708911
Spring_2018_Pond30_16,Daphnia.pulex.Europe.GBR.1577,-1.426357,54.047436,Daphnia pulex,Europe,SRR24967768,PRJNA982532,SAMN35708912
Spring_2012_D8_6A,Daphnia.pulex.Europe.GBR.1578,-2.091652,50.64256,Daphnia pulex,Europe,SRR24967767,PRJNA982532,SAMN35708913
Spring_2018_Pond19_6,Daphnia.pulex.Europe.GBR.1579,-0.607703,51.087745,Daphnia pulex,Europe,SRR24967683,PRJNA982532,SAMN35708989
Spring_2018_Pond17_64,Daphnia.pulex.Europe.GBR.1580,-0.931099,51.345955,Daphnia pulex,Europe,SRR24967766,PRJNA982532,SAMN35708914
Spring_2018_Pond2_2,Daphnia.pulex.Europe.GBR.1581,-3.7837,52.1307,Daphnia pulex,Europe,SRR24967682,PRJNA982532,SAMN35708990
Spring_2018_Pond17_10,Daphnia.pulex.Europe.GBR.1582,-0.931099,51.345955,Daphnia pulex,Europe,SRR24967762,PRJNA982532,SAMN35708918
Spring_2018_Pond24_1,Daphnia.pulex.Europe.GBR.1583,-3.019395,53.290379,Daphnia pulex,Europe,SRR24967760,PRJNA982532,SAMN35708919
Spring_2018_Pond24_7,Daphnia.pulex.Europe.GBR.1584,-3.019395,53.290379,Daphnia pulex,Europe,SRR24967759,PRJNA982532,SAMN35708920
Spring_2018_Pond17_65,Daphnia.pulex.Europe.GBR.1585,-0.931099,51.345955,Daphnia pulex,Europe,SRR24967757,PRJNA982532,SAMN35708922
Spring_2018_Pond2_10,Daphnia.pulex.Europe.GBR.1586,-3.7837,52.1307,Daphnia pulex,Europe,SRR24967681,PRJNA982532,SAMN35708991
Spring_2018_Pond6_6,Daphnia.pulex.Europe.GBR.1587,0.828461,52.082493,Daphnia pulex,Europe,SRR24967755,PRJNA982532,SAMN35708924
Spring_2018_Pond6_22,Daphnia.pulex.Europe.GBR.1588,0.828461,52.082493,Daphnia pulex,Europe,SRR24967754,PRJNA982532,SAMN35708925
Spring_2018_Pond17_11,Daphnia.pulex.Europe.GBR.1589,-0.931099,51.345955,Daphnia pulex,Europe,SRR24967753,PRJNA982532,SAMN35708926
Spring_2018_Pond30_53,Daphnia.pulex.Europe.GBR.1590,-1.426357,54.047436,Daphnia pulex,Europe,SRR24967751,PRJNA982532,SAMN35708928
Spring_2018_Pond24_19,Daphnia.pulex.Europe.GBR.1591,-3.019395,53.290379,Daphnia pulex,Europe,SRR24967749,PRJNA982532,SAMN35708929
Spring_2018_Pond17_69,Daphnia.pulex.Europe.GBR.1592,-0.931099,51.345955,Daphnia pulex,Europe,SRR24967748,PRJNA982532,SAMN35708930
Spring_2018_Pond6_9,Daphnia.pulex.Europe.GBR.1593,0.828461,52.082493,Daphnia pulex,Europe,SRR24967745,PRJNA982532,SAMN35708933
Spring_2018_Pond6_23,Daphnia.pulex.Europe.GBR.1594,0.828461,52.082493,Daphnia pulex,Europe,SRR24967744,PRJNA982532,SAMN35708934
Spring_2018_Pond17_12,Daphnia.pulex.Europe.GBR.1595,-0.931099,51.345955,Daphnia pulex,Europe,SRR24967743,PRJNA982532,SAMN35708935
Spring_2018_Pond17_16,Daphnia.pulex.Europe.GBR.1596,-0.931099,51.345955,Daphnia pulex,Europe,SRR24967742,PRJNA982532,SAMN35708936
Spring_2018_Pond24_20,Daphnia.pulex.Europe.GBR.1597,-3.019395,53.290379,Daphnia pulex,Europe,SRR24967740,PRJNA982532,SAMN35708938
Spring_2018_Pond6_10,Daphnia.pulex.Europe.GBR.1598,0.828461,52.082493,Daphnia pulex,Europe,SRR24967735,PRJNA982532,SAMN35708942
Spring_2018_Pond6_24,Daphnia.pulex.Europe.GBR.1599,0.828461,52.082493,Daphnia pulex,Europe,SRR24967734,PRJNA982532,SAMN35708943
Spring_2018_Pond6_25,Daphnia.pulex.Europe.GBR.1600,0.828461,52.082493,Daphnia pulex,Europe,SRR24967733,PRJNA982532,SAMN35708944
Spring_2018_Pond17_19,Daphnia.pulex.Europe.GBR.1601,-0.931099,51.345955,Daphnia pulex,Europe,SRR24967732,PRJNA982532,SAMN35708945
Spring_2018_Pond24_23,Daphnia.pulex.Europe.GBR.1602,-3.019395,53.290379,Daphnia pulex,Europe,SRR24967730,PRJNA982532,SAMN35708947
Spring_2018_Pond17_73,Daphnia.pulex.Europe.GBR.1603,-0.931099,51.345955,Daphnia pulex,Europe,SRR24967729,PRJNA982532,SAMN35708948
Spring_2018_Pond6_11,Daphnia.pulex.Europe.GBR.1605,0.828461,52.082493,Daphnia pulex,Europe,SRR24967725,PRJNA982532,SAMN35708951
Spring_2018_Pond6_12,Daphnia.pulex.Europe.GBR.1606,0.828461,52.082493,Daphnia pulex,Europe,SRR24967724,PRJNA982532,SAMN35708952
Spring_2018_Pond17_1,Daphnia.pulex.Europe.GBR.1607,-0.931099,51.345955,Daphnia pulex,Europe,SRR24967723,PRJNA982532,SAMN35708953
Spring_2018_Pond17_20,Daphnia.pulex.Europe.GBR.1608,-0.931099,51.345955,Daphnia pulex,Europe,SRR24967722,PRJNA982532,SAMN35708954
Spring_2018_Pond24_24,Daphnia.pulex.Europe.GBR.1609,-3.019395,53.290379,Daphnia pulex,Europe,SRR24967720,PRJNA982532,SAMN35708956
Spring_2018_Pond17_74,Daphnia.pulex.Europe.GBR.1610,-0.931099,51.345955,Daphnia pulex,Europe,SRR24967719,PRJNA982532,SAMN35708957
Spring_2018_Pond6_13,Daphnia.pulex.Europe.GBR.1612,0.828461,52.082493,Daphnia pulex,Europe,SRR24967714,PRJNA982532,SAMN35708961
Spring_2018_Pond17_2,Daphnia.pulex.Europe.GBR.1613,-0.931099,51.345955,Daphnia pulex,Europe,SRR24967713,PRJNA982532,SAMN35708962
Spring_2018_Pond17_22,Daphnia.pulex.Europe.GBR.1614,-0.931099,51.345955,Daphnia pulex,Europe,SRR24967712,PRJNA982532,SAMN35708963
Spring_2018_Pond25_23,Daphnia.pulex.Europe.GBR.1615,-3.007721,53.295621,Daphnia pulex,Europe,SRR24967698,PRJNA982532,SAMN35708976
Spring_2018_Pond5_8,Daphnia.pulex.Europe.GBR.1617,0.975512,52.089768,Daphnia pulex,Europe,SRR24967707,PRJNA982532,SAMN35708968
Spring_2018_Pond6_14,Daphnia.pulex.Europe.GBR.1618,0.828461,52.082493,Daphnia pulex,Europe,SRR24967705,PRJNA982532,SAMN35708969
Spring_2018_Pond17_3,Daphnia.pulex.Europe.GBR.1619,-0.931099,51.345955,Daphnia pulex,Europe,SRR24967704,PRJNA982532,SAMN35708970
Spring_2018_Pond17_51,Daphnia.pulex.Europe.GBR.1620,-0.931099,51.345955,Daphnia pulex,Europe,SRR24967703,PRJNA982532,SAMN35708971
Spring_2012_C_14,Daphnia.pulex.Europe.GBR.1621,-3.7837,52.1307,Daphnia pulex,Europe,SRR24967702,PRJNA982532,SAMN35708972
Spring_2018_Pond22_51,Daphnia.pulex.Europe.GBR.1623,-0.312748,53.581442,Daphnia pulex,Europe,SRR24967700,PRJNA982532,SAMN35708974
Spring_2018_Pond22_52,Daphnia.pulex.Europe.GBR.1624,-0.312748,53.581442,Daphnia pulex,Europe,SRR24967699,PRJNA982532,SAMN35708975
Spring_2018_Pond5_9,Daphnia.pulex.Europe.GBR.1626,0.975512,52.089768,Daphnia pulex,Europe,SRR24967697,PRJNA982532,SAMN35708977
Spring_2018_Pond17_59,Daphnia.pulex.Europe.GBR.1627,-0.931099,51.345955,Daphnia pulex,Europe,SRR24967693,PRJNA982532,SAMN35708980
Spring_2018_Pond22_60,Daphnia.pulex.Europe.GBR.1628,-0.312748,53.581442,Daphnia pulex,Europe,SRR24967691,PRJNA982532,SAMN35708982
Spring_2018_Pond6_2,Daphnia.pulex.Europe.GBR.1630,0.828461,52.082493,Daphnia pulex,Europe,SRR24967689,PRJNA982532,SAMN35708984
Spring_2018_Pond6_17,Daphnia.pulex.Europe.GBR.1631,0.828461,52.082493,Daphnia pulex,Europe,SRR24967688,PRJNA982532,SAMN35708985
Spring_2018_Pond17_5,Daphnia.pulex.Europe.GBR.1632,-0.931099,51.345955,Daphnia pulex,Europe,SRR24967687,PRJNA982532,SAMN35708986
Spring_2018_Pond17_61,Daphnia.pulex.Europe.GBR.1633,-0.931099,51.345955,Daphnia pulex,Europe,SRR24967686,PRJNA982532,SAMN35708987
Spring_2018_Pond22_62,Daphnia.pulicaria.Europe.GBR.1568,-0.312748,53.581442,Daphnia pulicaria,Europe,SRR24967772,PRJNA982532,SAMN35708900
March15_2019_DBunk_MomPE1,Daphnia.obtusa.Europe.GBR.240,-2.09237,50.64259,Daphnia obtusa,Europe,SRR14370492,PRJNA725506,SAMN18938158
March15_2019_DBunk_MomPE20,Daphnia.obtusa.Europe.GBR.252,-2.09237,50.64259,Daphnia obtusa,Europe,SRR14370486,PRJNA725506,SAMN18938159
March20_2018_DBunk_10,Daphnia.obtusa.Europe.GBR.327,-2.09237,50.64259,Daphnia obtusa,Europe,SRR14370485,PRJNA725506,SAMN18938160
March20_2018_DBunk_18,Daphnia.obtusa.Europe.GBR.335,-2.09237,50.64259,Daphnia obtusa,Europe,SRR14370484,PRJNA725506,SAMN18938161
March20_2018_DBunk_21,Daphnia.obtusa.Europe.GBR.339,-2.09237,50.64259,Daphnia obtusa,Europe,SRR14370483,PRJNA725506,SAMN18938162
March20_2018_DBunk_22,Daphnia.obtusa.Europe.GBR.340,-2.09237,50.64259,Daphnia obtusa,Europe,SRR14370482,PRJNA725506,SAMN18938163
March20_2018_DBunk_23,Daphnia.obtusa.Europe.GBR.341,-2.09237,50.64259,Daphnia obtusa,Europe,SRR14370481,PRJNA725506,SAMN18938164
March20_2018_DBunk_42,Daphnia.obtusa.Europe.GBR.344,-2.09237,50.64259,Daphnia obtusa,Europe,SRR14370488,PRJNA725506,SAMN18938170
March20_2018_DBunk_38,Daphnia.obtusa.Europe.GBR.357,-2.09237,50.64259,Daphnia obtusa,Europe,SRR14370491,PRJNA725506,SAMN18938167
March20_2018_DBunk_40,Daphnia.obtusa.Europe.GBR.359,-2.09237,50.64259,Daphnia obtusa,Europe,SRR14370490,PRJNA725506,SAMN18938168
March20_2018_DBunk_41,Daphnia.obtusa.Europe.GBR.360,-2.09237,50.64259,Daphnia obtusa,Europe,SRR14370489,PRJNA725506,SAMN18938169
March20_2018_DBunk_43,Daphnia.obtusa.Europe.GBR.362,-2.09237,50.64259,Daphnia obtusa,Europe,SRR14370487,PRJNA725506,SAMN18938171
April17_2018_D8_Male5,Daphnia.pulex.Europe.GBR.10,-2.091652,50.64256,Daphnia pulex,Europe,SRR14476646,PRJNA725506,SAMN19088636
April_2017_D8_60,Daphnia.pulex.Europe.GBR.104,-2.091652,50.64256,Daphnia pulex,Europe,SRR14476884,PRJNA725506,SAMN19067485
April29_2018_D8_MomPE1,Daphnia.pulex.Europe.GBR.11,-2.091652,50.64256,Daphnia pulex,Europe,SRR14476635,PRJNA725506,SAMN19088637
April_2017_DBunk_103,Daphnia.pulex.Europe.GBR.111,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476938,PRJNA725506,SAMN19067492
April_2017_DBunk_111,Daphnia.pulex.Europe.GBR.114,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476934,PRJNA725506,SAMN19067495
April_2017_DBunk_121,Daphnia.pulex.Europe.GBR.117,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476931,PRJNA725506,SAMN19067498
April_2017_DBunk_128,Daphnia.pulex.Europe.GBR.118,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476930,PRJNA725506,SAMN19067499
April_2017_DBunk_129,Daphnia.pulex.Europe.GBR.119,-2.09237,50.64259,Daphnia pulex,Europe,SRR14476791,PRJNA725506,SAMN19067500
