ID,BioProject,BioSample,Run,Organism,lat,lon,counts
1,PRJNA212126,SAMN02252729,SRR7518397,Daphnia pulex,NA,NA,1
2,PRJNA212127,SAMN02252730,SRR7518398,Daphnia pulex,NA,NA,1
3,PRJNA212128,SAMN02252729,SRR7518395,Daphnia pulex,NA,NA,1
4,PRJNA212129,SAMN02252732,SRR7518396,Daphnia pulex,NA,NA,1
5,PRJNA212130,SAMN02252733,SRR7516868,Daphnia pulex,NA,NA,1
6,PRJNA212131,SAMN02252734,SRR7516827,soil metagenome,NA,NA,4
7,PRJNA212131,SAMN02252734,SRR7519633,soil metagenome,NA,NA,4
8,PRJNA212131,SAMN02252734,SRR7519634,soil metagenome,NA,NA,4
9,PRJNA212131,SAMN02252734,SRR7519635,soil metagenome,NA,NA,4
10,PRJNA212132,SAMN02252735,SRR7516826,Daphnia pulex,NA,NA,1
11,PRJNA212133,SAMN02252736,SRR7516538,Daphnia pulex,NA,NA,1
12,PRJNA212134,SAMN02252737,SRR7516547,Daphnia pulex,NA,NA,1
13,PRJNA212135,SAMN02252738,SRR7516535,Daphnia pulex,NA,NA,1
14,PRJNA212282,SAMN02252739,SRR7516539,Daphnia pulex,NA,NA,4
15,PRJNA212282,SAMN02252739,SRR7521588,Daphnia pulex,NA,NA,4
16,PRJNA212282,SAMN02252739,SRR7521589,Daphnia pulex,NA,NA,4
17,PRJNA212282,SAMN02252739,SRR7521590,Daphnia pulex,NA,NA,4
18,PRJNA212285,SAMN02252740,SRR7516563,Daphnia pulex,NA,NA,1
19,PRJNA212286,SAMN02252741,SRR7516572,Daphnia pulex,NA,NA,1
20,PRJNA212288,SAMN02252742,SRR7516561,Daphnia pulex,NA,NA,1
21,PRJNA212290,SAMN02252743,SRR7516566,Daphnia pulex,NA,NA,1
22,PRJNA212291,SAMN02252744,SRR7516825,Daphnia pulex,NA,NA,1
23,PRJNA212292,SAMN02252745,SRR7516562,Daphnia pulex,NA,NA,1
24,PRJNA212293,SAMN02252746,SRR7516565,Daphnia pulex,NA,NA,1
25,PRJNA212294,SAMN02252747,SRR7516523,Daphnia pulex,NA,NA,1
26,PRJNA212295,SAMN02252748,SRR7516536,Daphnia pulex,NA,NA,4
