Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,Isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,Tissue
SRR14333786,Synthetic-Long-Read,310,121512622000,PRJNA725506,SAMN18880212,Invertebrate,60701634569,UNIVERSITY OF VIRGINIA,2012,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX10687920,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve",HiSeq X Five,D84A,Several hundred individuals treated with sephadex but no antibiotics from D8 pond,4716-AB-0003,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-01T08:43:00Z,1,D84A_refgenclone,SRP316581,whole individuals
SRR14426881,WGS,302,4533249218,PRJNA725506,SAMN19021185,Invertebrate,1558042252,UNIVERSITY OF VIRGINIA,2018-03-20,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX10778149,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, D8 pond",Illumina NovaSeq 6000,March20_2018_D8_17,Single female with parthenogenic embryos sampled from D8 pond fixed in ethanol in the field,March20_2018_D8_17,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:09:00Z,1,March20_2018_D8_17,SRP316581,Single entire female with parthenogenic embryos
SRR14426882,WGS,302,1486369406,PRJNA725506,SAMN19021184,Invertebrate,515576772,UNIVERSITY OF VIRGINIA,2018-03-20,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX10778148,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, D8 pond",Illumina NovaSeq 6000,March20_2018_D8_16,Single female with parthenogenic embryos sampled from D8 pond fixed in ethanol in the field,March20_2018_D8_16,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:02:00Z,1,March20_2018_D8_16,SRP316581,Single entire female with parthenogenic embryos
SRR14426883,WGS,302,7590111036,PRJNA725506,SAMN19021270,Invertebrate,2587334694,UNIVERSITY OF VIRGINIA,2018-03-20,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX10778147,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DCat pond",Illumina NovaSeq 6000,March20_2018_Dcat_2,Single female with parthenogenic embryos sampled from DCat pond fixed in ethanol in the field,March20_2018_Dcat_2,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:16:00Z,1,March20_2018_Dcat_2,SRP316581,Single entire female with parthenogenic embryos
SRR14426884,WGS,302,5800681912,PRJNA725506,SAMN19021260,Invertebrate,1973341490,UNIVERSITY OF VIRGINIA,2018-03-20,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX10778146,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DCat pond",Illumina NovaSeq 6000,March20_2018_Dcat_1,Single female with parthenogenic embryos sampled from DCat pond fixed in ethanol in the field,March20_2018_Dcat_1,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:13:00Z,1,March20_2018_Dcat_1,SRP316581,Single entire female with parthenogenic embryos
SRR14426885,WGS,302,6636836258,PRJNA725506,SAMN19021259,Invertebrate,2293953347,UNIVERSITY OF VIRGINIA,2018-03-20,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX10778145,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_9,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_9,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:10:00Z,1,March20_2018_DBunk_9,SRP316581,Single entire female with parthenogenic embryos
SRR14426886,WGS,302,5310756976,PRJNA725506,SAMN19021258,Invertebrate,1815982030,UNIVERSITY OF VIRGINIA,2018-03-20,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX10778144,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_8,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_8,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:14:00Z,1,March20_2018_DBunk_8,SRP316581,Single entire female with parthenogenic embryos
SRR14426887,WGS,302,3865709626,PRJNA725506,SAMN19021257,Invertebrate,1328783827,UNIVERSITY OF VIRGINIA,2018-03-20,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX10778143,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_7,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_7,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:06:00Z,1,March20_2018_DBunk_7,SRP316581,Single entire female with parthenogenic embryos
SRR14426888,WGS,302,7123547310,PRJNA725506,SAMN19021256,Invertebrate,2432989117,UNIVERSITY OF VIRGINIA,2018-03-20,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX10778142,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_6,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_6,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:12:00Z,1,March20_2018_DBunk_6,SRP316581,Single entire female with parthenogenic embryos
SRR14426889,WGS,302,2076790882,PRJNA725506,SAMN19021255,Invertebrate,709810754,UNIVERSITY OF VIRGINIA,2018-03-20,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX10778141,United Kingdom,Europe,"United Kingdom: Dorset\, Kilwood Nature Reserve\, DBunk pond",Illumina NovaSeq 6000,March20_2018_DBunk_5,Single female with parthenogenic embryos sampled from DBunk pond fixed in ethanol in the field,March20_2018_DBunk_5,PAIRED,RANDOM,GENOMIC,Daphnia pulex,ILLUMINA,2022-05-01T00:00:00Z,2021-05-05T09:03:00Z,1,March20_2018_DBunk_5,SRP316581,Single entire female with parthenogenic embryos
