accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	fasta_file	assembly	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8
SRR24967773	SRP444808	new	PRJNA982532	SAMN35708899	Spring_2018_Pond19_50	Pond19_50	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_10-index_8nt_N5_184_SL378835.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_10-index_8nt_N5_184_SL378835.fastq.gz						
SRR24967772	SRP444808	new	PRJNA982532	SAMN35708900	Spring_2018_Pond22_62	Pond22_62	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_10-index_8nt_N5_239_SL378846.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_10-index_8nt_N5_239_SL378846.fastq.gz						
SRR24967761	SRP444808	new	PRJNA982532	SAMN35708901	Spring_2018_Pond6_4	Pond6_4	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_10-index_8nt_N5_436_SL378857.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_10-index_8nt_N5_436_SL378857.fastq.gz						
SRR24967750	SRP444808	new	PRJNA982532	SAMN35708902	Spring_2018_Pond6_19	Pond6_19	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_10-index_8nt_N5_438_SL378868.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_10-index_8nt_N5_438_SL378868.fastq.gz						
SRR24967739	SRP444808	new	PRJNA982532	SAMN35708903	Spring_2018_Pond17_7	Pond17_7	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_10-index_8nt_N5_509_SL378879.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_10-index_8nt_N5_509_SL378879.fastq.gz						
SRR24967728	SRP444808	new	PRJNA982532	SAMN35708904	Spring_2018_Pond22_73	Pond22_73	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_10-index_8nt_N5_685_SL378890.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_10-index_8nt_N5_685_SL378890.fastq.gz						
SRR24967717	SRP444808	new	PRJNA982532	SAMN35708905	Spring_2018_Pond30_18	Pond30_18	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_10-index_8nt_N5_700_SL378901.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_10-index_8nt_N5_700_SL378901.fastq.gz						
SRR24967706	SRP444808	new	PRJNA982532	SAMN35708906	Spring_2018_Pond17_63	Pond17_63	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_10-index_8nt_N5_71_SL379015.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_10-index_8nt_N5_71_SL379015.fastq.gz						
SRR24967695	SRP444808	new	PRJNA982532	SAMN35708907	Spring_2018_Pond22_53	Pond22_53	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_215-index_8nt_N5_184_SL378923.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_215-index_8nt_N5_184_SL378923.fastq.gz						
SRR24967684	SRP444808	new	PRJNA982532	SAMN35708908	Spring_2018_Pond6_3	Pond6_3	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_215-index_8nt_N5_239_SL378934.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_215-index_8nt_N5_239_SL378934.fastq.gz						
SRR24967771	SRP444808	new	PRJNA982532	SAMN35708909	Spring_2018_Pond6_18	Pond6_18	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_215-index_8nt_N5_436_SL378939.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_215-index_8nt_N5_436_SL378939.fastq.gz						
SRR24967770	SRP444808	new	PRJNA982532	SAMN35708910	Spring_2018_Pond17_6	Pond17_6	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_215-index_8nt_N5_438_SL378940.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_215-index_8nt_N5_438_SL378940.fastq.gz						
SRR24967769	SRP444808	new	PRJNA982532	SAMN35708911	Spring_2018_Pond22_68	Pond22_68	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_215-index_8nt_N5_509_SL378941.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_215-index_8nt_N5_509_SL378941.fastq.gz						
SRR24967768	SRP444808	new	PRJNA982532	SAMN35708912	Spring_2018_Pond30_16	Pond30_16	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_215-index_8nt_N5_685_SL378942.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_215-index_8nt_N5_685_SL378942.fastq.gz						
SRR24967767	SRP444808	new	PRJNA982532	SAMN35708913	Spring_2012_D8_6A	D8_6A	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_215-index_8nt_N5_700_SL378943.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_215-index_8nt_N5_700_SL378943.fastq.gz						
SRR24967766	SRP444808	new	PRJNA982532	SAMN35708914	Spring_2018_Pond17_64	Pond17_64	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_215-index_8nt_N5_71_SL378912.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_215-index_8nt_N5_71_SL378912.fastq.gz						
SRR24967765	SRP444808	new	PRJNA982532	SAMN35708915	Spring_2018_Pond22_72	Pond22_72	Daphnia clone	WGS	GENOMIC	RANDOM	paired	ILLUMINA	HiSeq X Five	WGS of Daphnia clone	fastq			HHY27DSXX_s1_1_index_8nt_N7_294-index_8nt_N5_184_SL378945.fastq.gz	HHY27DSXX_s1_2_index_8nt_N7_294-index_8nt_N5_184_SL378945.fastq.gz						
