BioProject,BioSample,Sample,Species,mean.dep,mean.miss,Isolate,Origin,highMiss,lat,long,Continent,cloneID
PRJNA212126,SAMN02252729,SRR7518397,Daphnia pulex,32.0357,0.0917463,TRO-3,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA212127,SAMN02252730,SRR7518398,Daphnia pulex,31.0847,0.0917961,SMI-1,SRA,N,56.1304,-106.3468,NorthAmerica,NA
PRJNA212128,SAMN02252729,SRR7518395,Daphnia pulex,32.5352,0.0956235,TRO-3,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA212129,SAMN02252732,SRR7518396,Daphnia pulex,30.8722,0.0938639,5W-2,SRA,N,56.1304,-106.3468,NorthAmerica,NA
PRJNA212130,SAMN02252733,SRR7516868,Daphnia pulex,32.9923,0.0923759,LYT-1,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA212131,SAMN02252734,SRR7516827,soil metagenome,8.78493,0.156628,,SRA,N_notPulex,47.052505,4.383721,Europe,NA
PRJNA212131,SAMN02252734,SRR7519633,soil metagenome,8.93786,0.154555,,SRA,N_notPulex,47.052505,4.383721,Europe,NA
PRJNA212131,SAMN02252734,SRR7519634,soil metagenome,9.25371,0.125298,,SRA,N_notPulex,47.052505,4.383721,Europe,NA
PRJNA212131,SAMN02252734,SRR7519635,soil metagenome,9.3905,0.122658,,SRA,N_notPulex,47.052505,4.383721,Europe,NA
PRJNA212132,SAMN02252735,SRR7516826,Daphnia pulex,31.6803,0.0919196,GOS-1,SRA,N,56.1304,-106.3468,NorthAmerica,NA
PRJNA212133,SAMN02252736,SRR7516538,Daphnia pulex,33.4317,0.0933077,JOL-2,SRA,N,56.1304,-106.3468,NorthAmerica,NA
PRJNA212134,SAMN02252737,SRR7516547,Daphnia pulex,33.3021,0.0911868,MORG-5,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA212135,SAMN02252738,SRR7516535,Daphnia pulex,19.6624,0.102942,SED-2,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA212282,SAMN02252739,SRR7521589,Daphnia pulex,20.4691,0.103719,STM-2,SRA,N,56.1304,-106.3468,NorthAmerica,NA
PRJNA212285,SAMN02252740,SRR7516563,Daphnia pulex,32.2099,0.09913,HUGHES-2,SRA,N,56.1304,-106.3468,NorthAmerica,NA
PRJNA212286,SAMN02252741,SRR7516572,Daphnia pulex,31.5023,0.0957406,PA-32,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA212288,SAMN02252742,SRR7516561,Daphnia pulex,32.1511,0.100577,EB-1,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA212290,SAMN02252743,SRR7516566,Daphnia pulex,31.8269,0.0939833,OP-11,SRA,N,56.1304,-106.3468,NorthAmerica,NA
PRJNA212291,SAMN02252744,SRR7516825,Daphnia pulex,31.2654,0.0939965,BW-101,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA212292,SAMN02252745,SRR7516562,Daphnia pulex,31.5717,0.100516,KSP-10,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA212293,SAMN02252746,SRR7516565,Daphnia pulex,32.1849,0.0976041,POVI-1,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA212294,SAMN02252747,SRR7516523,Daphnia pulex,29.4562,0.0983657,TEX-9,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA212295,SAMN02252748,SRR7516536,Daphnia pulex,20.5358,0.109218,LP8B-6,SRA,N,56.1304,-106.3468,NorthAmerica,NA
PRJNA212296,SAMN02252749,SRR7519632,Daphnia pulex,19.7451,0.110556,NFL-3,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA212297,SAMN02252750,SRR7516524,Daphnia pulex,8.97257,0.129358,LPB8-5,SRA,N,56.1304,-106.3468,NorthAmerica,NA
PRJNA212297,SAMN02252750,SRR7519640,Daphnia pulex,9.06525,0.129396,LPB8-5,SRA,N,56.1304,-106.3468,NorthAmerica,NA
PRJNA247438,SAMN02839616,SRR1369718,Daphnia pulex,10.2164,0.0971619,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA247438,SAMN02839615,SRR1369719,Daphnia pulex,7.05448,0.108139,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA247438,SAMN02839621,SRR1369720,Daphnia pulex,6.82951,0.108984,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA247438,SAMN02839619,SRR1369723,Daphnia pulex,10.9642,0.0966265,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA247438,SAMN02839620,SRR1369724,Daphnia pulex,10.2687,0.097635,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA247438,SAMN02839688,SRR1369945,Daphnia pulex,2.85034,0.153892,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA247438,SAMN02839642,SRR1369946,Daphnia pulex,2.92764,0.149984,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA247438,SAMN02839648,SRR1369948,Daphnia pulex,5.24154,0.151336,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA247438,SAMN02839626,SRR1369952,Daphnia pulex,3.77766,0.154642,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA247438,SAMN02839668,SRR1369953,Daphnia pulex,4.48509,0.155546,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA247438,SAMN02839690,SRR1369956,Daphnia pulex,3.5898,0.104242,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA247438,SAMN02839692,SRR1369957,Daphnia pulex,3.14551,0.126995,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA247438,SAMN02839640,SRR1369968,Daphnia pulex,2.95715,0.154642,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964735,SRR2148374,Daphnia pulex,25.7474,0.0854353,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964736,SRR2148375,Daphnia pulex,25.5829,0.0858901,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964737,SRR2148376,Daphnia pulex,32.8987,0.0855301,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964738,SRR2148377,Daphnia pulex,7.36382,0.110346,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964739,SRR2148378,Daphnia pulex,11.6344,0.0951092,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964740,SRR2148379,Daphnia pulex,15.3815,0.0884749,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964741,SRR2148380,Daphnia pulex,14.5045,0.0944194,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964742,SRR2148381,Daphnia pulex,11.1065,0.0992416,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964743,SRR2148382,Daphnia pulex,7.59911,0.116226,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964744,SRR2148383,Daphnia pulex,7.28743,0.123993,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964745,SRR2148384,Daphnia middendorfiana,9.3042,0.102593,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964747,SRR2148386,Daphnia pulex,18.6382,0.169685,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964748,SRR2148387,Daphnia pulex,15.2048,0.195705,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964749,SRR2148388,Daphnia pulex,17.5419,0.177838,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964750,SRR2148389,Daphnia pulex,18.4202,0.174294,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964752,SRR2148391,Daphnia pulex,16.1726,0.184817,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964753,SRR2148392,Daphnia pulex,15.512,0.194401,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964754,SRR2148393,Daphnia pulex,17.1171,0.177832,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964755,SRR2148394,Daphnia pulex,20.1737,0.165914,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964756,SRR2148395,Daphnia pulicaria,16.5882,0.200157,,SRA,Y_notPulex,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964757,SRR2148396,Daphnia pulicaria,20.7399,0.179401,,SRA,N_notPulex,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964758,SRR2148397,Daphnia pulicaria,19.7068,0.189971,,SRA,N_notPulex,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964759,SRR2148398,Daphnia pulicaria,20.3721,0.211041,,SRA,Y_notPulex,NA,NA,NorthAmerica,NA
