Sample	Top over-represented sequence	Sum of remaining over-represented sequences
ERR1725673_finalmap_RG	0.0	0.0
ERR1725674_finalmap_RG	0.0	0.0
ERR1725675_finalmap_RG	0.0	0.0
ERR1725676_finalmap_RG	0.0	0.0
SRR10159711_finalmap_RG	0.0	0.0
SRR10159715_finalmap_RG	0.0	0.0
SRR10159716_finalmap_RG	0.0	0.0
SRR10159719_finalmap_RG	0.0	0.0
SRR10159723_finalmap_RG	0.0	0.0
SRR10160650_finalmap_RG	0.0	0.0
SRR10160651_finalmap_RG	0.0	0.0
SRR10160652_finalmap_RG	0.0	0.0
SRR10160653_finalmap_RG	0.0	0.0
SRR10160654_finalmap_RG	0.0	0.0
SRR10160655_finalmap_RG	0.0	0.0
SRR10160656_finalmap_RG	0.0	0.0
SRR10160658_finalmap_RG	0.0	0.0
SRR10160659_finalmap_RG	0.0	0.0
SRR10160660_finalmap_RG	0.0	0.0
SRR10160661_finalmap_RG	0.0	0.0
SRR10160662_finalmap_RG	0.0	0.0
SRR10160663_finalmap_RG	0.0	0.0
SRR10160664_finalmap_RG	0.0	0.0
SRR10160665_finalmap_RG	0.0	0.0
SRR10160666_finalmap_RG	0.0	0.0
SRR10160667_finalmap_RG	0.0	0.0
SRR10160669_finalmap_RG	0.0	0.0
SRR10160670_finalmap_RG	0.0	0.0
SRR10160671_finalmap_RG	0.0	0.0
SRR10160673_finalmap_RG	0.0	0.0
SRR10160674_finalmap_RG	0.0	0.0
SRR10160680_finalmap_RG	0.0	0.0
SRR10160681_finalmap_RG	0.0	0.0
SRR10160682_finalmap_RG	0.0	0.0
SRR10160683_finalmap_RG	0.0	0.0
SRR10160687_finalmap_RG	0.0	0.0
SRR10160690_finalmap_RG	0.0	0.0
SRR10160691_finalmap_RG	0.0	0.0
SRR11101993_finalmap_RG	0.0	0.0
SRR12586677_finalmap_RG	0.0	0.0
SRR12689207_finalmap_RG	0.0	0.0
SRR12689208_finalmap_RG	0.0	0.0
SRR12689209_finalmap_RG	0.0	0.0
SRR12689210_finalmap_RG	0.0	0.0
SRR12689211_finalmap_RG	0.0	0.0
SRR12689212_finalmap_RG	0.0	0.0
SRR12689213_finalmap_RG	0.0	0.0
SRR12689214_finalmap_RG	0.0	0.0
SRR12689215_finalmap_RG	0.0	0.0
SRR12689216_finalmap_RG	0.0	0.0
SRR12689217_finalmap_RG	0.0	0.0
SRR12689218_finalmap_RG	0.0	0.0
SRR12689219_finalmap_RG	0.0	0.0
SRR12689220_finalmap_RG	0.0	0.0
SRR12689221_finalmap_RG	0.0	0.0
SRR12689222_finalmap_RG	0.0	0.0
SRR12689223_finalmap_RG	0.0	0.0
SRR12689224_finalmap_RG	0.0	0.0
SRR12689225_finalmap_RG	0.0	0.0
SRR12689226_finalmap_RG	0.0	0.0
SRR1369718_finalmap_RG	0.16325228519968799	0.0
SRR1369719_finalmap_RG	0.0	0.0
SRR1369720_finalmap_RG	0.14962994074617078	0.0
SRR1369721_finalmap_RG	0.24942975998924916	0.0
SRR1369722_finalmap_RG	0.19752505240722631	0.0
SRR1369723_finalmap_RG	0.0	0.0
SRR1369724_finalmap_RG	0.0	0.0
SRR1369725_finalmap_RG	0.0	0.0
SRR1369726_finalmap_RG	0.0	0.0
SRR1369727_finalmap_RG	0.0	0.0
SRR1369728_finalmap_RG	0.0	0.0
SRR1369729_finalmap_RG	0.0	0.0
SRR1369730_finalmap_RG	0.0	0.0
SRR1369731_finalmap_RG	0.0	0.0
SRR1369732_finalmap_RG	0.0	0.0
SRR1369733_finalmap_RG	0.0	0.0
SRR1369734_finalmap_RG	0.0	0.0
SRR1369735_finalmap_RG	0.0	0.0
SRR1369736_finalmap_RG	0.0	0.0
SRR1369737_finalmap_RG	0.0	0.0
SRR1369738_finalmap_RG	0.0	0.0
SRR1369739_finalmap_RG	0.0	0.0
SRR1369740_finalmap_RG	0.0	0.0
SRR1369741_finalmap_RG	0.0	0.0
SRR1369742_finalmap_RG	0.0	0.0
SRR1369743_finalmap_RG	0.0	0.0
SRR1369744_finalmap_RG	0.0	0.0
SRR1369745_finalmap_RG	0.0	0.0
SRR1369746_finalmap_RG	0.0	0.0
