Sample	Unique Reads	Duplicate Reads
ERR1725673_finalmap_RG	12474788.0	135532.0
ERR1725674_finalmap_RG	12585323.0	141745.0
ERR1725675_finalmap_RG	10920070.0	148126.0
ERR1725676_finalmap_RG	10739657.0	146477.0
SRR10159711_finalmap_RG	56542705.0	7671755.0
SRR10159715_finalmap_RG	33629158.0	3517523.0
SRR10159716_finalmap_RG	94992286.0	17786069.0
SRR10159719_finalmap_RG	33762640.0	3142740.0
SRR10159723_finalmap_RG	73826247.0	10323596.0
SRR10160650_finalmap_RG	4264534.0	82448.0
SRR10160651_finalmap_RG	3523688.0	169792.0
SRR10160652_finalmap_RG	2664558.0	147099.0
SRR10160653_finalmap_RG	15714306.0	1074631.0
SRR10160654_finalmap_RG	12871976.0	1045884.0
SRR10160655_finalmap_RG	12567263.0	628385.0
SRR10160656_finalmap_RG	11684183.0	890063.0
SRR10160658_finalmap_RG	8704112.0	311856.0
SRR10160659_finalmap_RG	16101963.0	1231856.0
SRR10160660_finalmap_RG	8173407.0	288137.0
SRR10160661_finalmap_RG	7645190.0	587328.0
SRR10160662_finalmap_RG	8582822.0	570480.0
SRR10160663_finalmap_RG	8200440.0	524032.0
SRR10160664_finalmap_RG	12764578.0	497202.0
SRR10160665_finalmap_RG	10644132.0	360226.0
SRR10160666_finalmap_RG	11038594.0	395954.0
SRR10160667_finalmap_RG	6890992.0	940523.0
SRR10160669_finalmap_RG	12748735.0	3253456.0
SRR10160670_finalmap_RG	15929648.0	1184716.0
SRR10160671_finalmap_RG	8798008.0	468047.0
SRR10160673_finalmap_RG	6511969.0	405497.0
SRR10160674_finalmap_RG	14653922.0	634887.0
SRR10160680_finalmap_RG	11219846.0	341325.0
SRR10160681_finalmap_RG	11175327.0	533613.0
SRR10160682_finalmap_RG	10154351.0	378676.0
SRR10160683_finalmap_RG	10417735.0	398331.0
SRR10160687_finalmap_RG	10925708.0	391714.0
SRR10160690_finalmap_RG	12604112.0	751144.0
SRR10160691_finalmap_RG	9372003.0	276840.0
SRR11101993_finalmap_RG	45101089.0	6014366.0
SRR12586677_finalmap_RG	6101979.0	1700289.0
SRR12689207_finalmap_RG	13416553.0	543776.0
SRR12689208_finalmap_RG	13574453.0	503119.0
SRR12689209_finalmap_RG	11986023.0	381073.0
SRR12689210_finalmap_RG	12468143.0	440915.0
SRR12689211_finalmap_RG	12156274.0	395548.0
SRR12689212_finalmap_RG	12130004.0	435974.0
SRR12689213_finalmap_RG	12355096.0	426299.0
SRR12689214_finalmap_RG	12870494.0	489248.0
SRR12689215_finalmap_RG	13378661.0	451848.0
SRR12689216_finalmap_RG	11457130.0	391769.0
SRR12689217_finalmap_RG	13279029.0	465299.0
SRR12689218_finalmap_RG	12773115.0	543254.0
SRR12689219_finalmap_RG	12033874.0	383041.0
SRR12689220_finalmap_RG	13351471.0	498553.0
SRR12689221_finalmap_RG	12398661.0	453237.0
SRR12689222_finalmap_RG	12226268.0	358258.0
SRR12689223_finalmap_RG	12894019.0	474456.0
SRR12689224_finalmap_RG	13727961.0	497127.0
SRR12689225_finalmap_RG	12735320.0	508311.0
SRR12689226_finalmap_RG	12286228.0	550445.0
SRR1369718_finalmap_RG	8048838.0	226697.0
SRR1369719_finalmap_RG	5750102.0	142961.0
SRR1369720_finalmap_RG	5232049.0	134524.0
SRR1369721_finalmap_RG	4005733.0	161372.0
SRR1369722_finalmap_RG	4282777.0	195136.0
SRR1369723_finalmap_RG	8748783.0	241462.0
SRR1369724_finalmap_RG	8267365.0	224810.0
SRR1369725_finalmap_RG	133029.0	2857.0
SRR1369726_finalmap_RG	191290.0	6221.0
SRR1369727_finalmap_RG	115592.0	2489.0
SRR1369728_finalmap_RG	105714.0	1909.0
SRR1369729_finalmap_RG	162685.0	3587.0
SRR1369730_finalmap_RG	133543.0	3064.0
SRR1369731_finalmap_RG	132308.0	2906.0
SRR1369732_finalmap_RG	140936.0	3193.0
SRR1369733_finalmap_RG	211583.0	4633.0
SRR1369734_finalmap_RG	236448.0	4047.0
SRR1369735_finalmap_RG	294084.0	5096.0
SRR1369736_finalmap_RG	170603.0	4913.0
SRR1369737_finalmap_RG	280748.0	4634.0
SRR1369738_finalmap_RG	210863.0	4169.0
SRR1369739_finalmap_RG	179980.0	5601.0
SRR1369740_finalmap_RG	56659.0	1230.0
SRR1369741_finalmap_RG	26789.0	500.0
SRR1369742_finalmap_RG	61347.0	1378.0
SRR1369743_finalmap_RG	50196.0	905.0
SRR1369744_finalmap_RG	55644.0	1077.0
SRR1369745_finalmap_RG	143903.0	3959.0
SRR1369746_finalmap_RG	155335.0	5979.0
SRR1369747_finalmap_RG	154039.0	6075.0
SRR1369748_finalmap_RG	105402.0	2514.0
SRR1369749_finalmap_RG	164607.0	5979.0
SRR1369750_finalmap_RG	146708.0	6046.0
SRR1369751_finalmap_RG	192283.0	5868.0
SRR1369752_finalmap_RG	204691.0	4336.0
SRR1369753_finalmap_RG	167604.0	7161.0
SRR1369754_finalmap_RG	181368.0	8386.0
SRR1369755_finalmap_RG	286154.0	5785.0
SRR1369756_finalmap_RG	166228.0	5458.0
SRR1369757_finalmap_RG	119478.0	2685.0
SRR1369758_finalmap_RG	117139.0	2558.0
SRR1369759_finalmap_RG	167720.0	5972.0
SRR1369760_finalmap_RG	152732.0	4226.0
SRR1369761_finalmap_RG	3528.0	93.0
SRR1369762_finalmap_RG	128075.0	3583.0
SRR1369763_finalmap_RG	197296.0	3827.0
SRR1369764_finalmap_RG	136567.0	3621.0
SRR1369765_finalmap_RG	85570.0	1988.0
SRR1369766_finalmap_RG	191126.0	7187.0
SRR1369767_finalmap_RG	149305.0	4204.0
SRR1369768_finalmap_RG	139781.0	3501.0
SRR1369769_finalmap_RG	181116.0	6727.0
SRR1369770_finalmap_RG	152782.0	4484.0
SRR1369771_finalmap_RG	242051.0	4257.0
SRR1369772_finalmap_RG	165081.0	5134.0
SRR1369773_finalmap_RG	222467.0	4015.0
SRR1369774_finalmap_RG	217155.0	3920.0
SRR1369775_finalmap_RG	178935.0	6082.0
SRR1369776_finalmap_RG	120467.0	3736.0
SRR1369777_finalmap_RG	109846.0	3469.0
SRR1369778_finalmap_RG	134756.0	4434.0
SRR1369779_finalmap_RG	141438.0	4918.0
SRR1369780_finalmap_RG	119470.0	3834.0
SRR1369781_finalmap_RG	173901.0	5286.0
SRR1369782_finalmap_RG	203462.0	3872.0
SRR1369783_finalmap_RG	256516.0	5149.0
SRR1369784_finalmap_RG	268601.0	4067.0
SRR1369785_finalmap_RG	210829.0	4111.0
SRR1369786_finalmap_RG	222717.0	5341.0
SRR1369787_finalmap_RG	181163.0	5692.0
SRR1369788_finalmap_RG	178602.0	7103.0
SRR1369789_finalmap_RG	219567.0	5191.0
SRR1369790_finalmap_RG	196193.0	3970.0
SRR1369791_finalmap_RG	120711.0	4560.0
SRR1369792_finalmap_RG	159001.0	7640.0
SRR1369793_finalmap_RG	133090.0	5632.0
SRR1369794_finalmap_RG	183642.0	7001.0
SRR1369795_finalmap_RG	198945.0	4373.0
SRR1369796_finalmap_RG	269128.0	4963.0
SRR1369797_finalmap_RG	5967.0	195.0
SRR1369798_finalmap_RG	218763.0	5814.0
SRR1369799_finalmap_RG	448063.0	10195.0
SRR1369800_finalmap_RG	236484.0	6293.0
SRR1369801_finalmap_RG	265426.0	6573.0
SRR1369802_finalmap_RG	351206.0	7877.0
SRR1369803_finalmap_RG	237411.0	6138.0
SRR1369804_finalmap_RG	219869.0	5559.0
SRR1369805_finalmap_RG	342745.0	8080.0
SRR1369806_finalmap_RG	277847.0	7107.0
SRR1369807_finalmap_RG	428995.0	9562.0
SRR1369808_finalmap_RG	291677.0	7339.0
SRR1369809_finalmap_RG	413522.0	8984.0
SRR1369810_finalmap_RG	417115.0	9152.0
SRR1369811_finalmap_RG	348344.0	7913.0
SRR1369812_finalmap_RG	247513.0	7028.0
SRR1369813_finalmap_RG	188275.0	10883.0
SRR1369814_finalmap_RG	283163.0	7712.0
SRR1369815_finalmap_RG	279842.0	7429.0
SRR1369816_finalmap_RG	256743.0	6918.0
SRR1369817_finalmap_RG	284837.0	6391.0
SRR1369818_finalmap_RG	383054.0	8331.0
SRR1369819_finalmap_RG	477851.0	11864.0
SRR1369820_finalmap_RG	494738.0	10930.0
SRR1369821_finalmap_RG	408666.0	8821.0
SRR1369822_finalmap_RG	414453.0	10181.0
SRR1369823_finalmap_RG	375674.0	9108.0
SRR1369824_finalmap_RG	366116.0	9447.0
SRR1369825_finalmap_RG	451874.0	11541.0
SRR1369826_finalmap_RG	362271.0	7978.0
SRR1369827_finalmap_RG	254289.0	8446.0
SRR1369828_finalmap_RG	320705.0	10800.0
SRR1369829_finalmap_RG	226340.0	7777.0
SRR1369830_finalmap_RG	319858.0	8912.0
SRR1369831_finalmap_RG	408025.0	10777.0
SRR1369832_finalmap_RG	491799.0	12771.0
SRR1369833_finalmap_RG	236736.0	10303.0
SRR1369834_finalmap_RG	286139.0	14069.0
SRR1369835_finalmap_RG	179509.0	16372.0
SRR1369836_finalmap_RG	170764.0	13357.0
SRR1369837_finalmap_RG	274275.0	11885.0
SRR1369838_finalmap_RG	212704.0	10381.0
SRR1369839_finalmap_RG	219210.0	10721.0
SRR1369840_finalmap_RG	211523.0	10710.0
SRR1369841_finalmap_RG	340768.0	16192.0
SRR1369842_finalmap_RG	395900.0	16570.0
SRR1369843_finalmap_RG	430634.0	17724.0
SRR1369844_finalmap_RG	288459.0	13544.0
SRR1369845_finalmap_RG	429039.0	18156.0
SRR1369846_finalmap_RG	333708.0	14953.0
SRR1369847_finalmap_RG	278064.0	12366.0
SRR1369848_finalmap_RG	94242.0	7333.0
SRR1369849_finalmap_RG	41994.0	3643.0
SRR1369850_finalmap_RG	97834.0	7444.0
SRR1369851_finalmap_RG	78747.0	6145.0
SRR1369852_finalmap_RG	81214.0	6582.0
SRR1369853_finalmap_RG	212558.0	12101.0
SRR1369854_finalmap_RG	247222.0	16170.0
SRR1369855_finalmap_RG	252663.0	16209.0
SRR1369856_finalmap_RG	160983.0	14743.0
SRR1369857_finalmap_RG	274368.0	14143.0
SRR1369858_finalmap_RG	231068.0	16780.0
SRR1369859_finalmap_RG	327434.0	14373.0
SRR1369860_finalmap_RG	347581.0	14162.0
SRR1369861_finalmap_RG	270210.0	14722.0
SRR1369862_finalmap_RG	270274.0	14483.0
SRR1369863_finalmap_RG	428514.0	28735.0
SRR1369864_finalmap_RG	275113.0	18981.0
SRR1369865_finalmap_RG	202149.0	13766.0
SRR1369866_finalmap_RG	202627.0	11175.0
SRR1369867_finalmap_RG	239984.0	13955.0
SRR1369868_finalmap_RG	259610.0	13689.0
SRR1369869_finalmap_RG	223741.0	10637.0
SRR1369870_finalmap_RG	283557.0	14937.0
SRR1369871_finalmap_RG	175360.0	16594.0
SRR1369872_finalmap_RG	166921.0	13662.0
SRR1369873_finalmap_RG	270554.0	12474.0
SRR1369874_finalmap_RG	209488.0	11178.0
SRR1369875_finalmap_RG	212310.0	10991.0
SRR1369876_finalmap_RG	204768.0	11786.0
SRR1369877_finalmap_RG	334990.0	17351.0
SRR1369878_finalmap_RG	387358.0	17329.0
SRR1369879_finalmap_RG	429244.0	19533.0
SRR1369880_finalmap_RG	279282.0	14146.0
SRR1369881_finalmap_RG	424660.0	19450.0
SRR1369882_finalmap_RG	330398.0	15763.0
SRR1369883_finalmap_RG	275566.0	13030.0
SRR1369884_finalmap_RG	93167.0	7368.0
SRR1369885_finalmap_RG	41276.0	3709.0
SRR1369886_finalmap_RG	96469.0	7528.0
SRR1369887_finalmap_RG	78171.0	6482.0
SRR1369888_finalmap_RG	79749.0	6633.0
SRR1369889_finalmap_RG	208170.0	12418.0
SRR1369890_finalmap_RG	244921.0	16549.0
SRR1369891_finalmap_RG	247031.0	17054.0
SRR1369892_finalmap_RG	157571.0	15203.0
SRR1369893_finalmap_RG	269538.0	14302.0
SRR1369894_finalmap_RG	227587.0	16906.0
SRR1369895_finalmap_RG	323693.0	14731.0
SRR1369896_finalmap_RG	340044.0	15240.0
SRR1369897_finalmap_RG	265439.0	15353.0
SRR1369898_finalmap_RG	262630.0	16528.0
SRR1369899_finalmap_RG	431544.0	29634.0
SRR1369900_finalmap_RG	273973.0	19359.0
SRR1369901_finalmap_RG	193395.0	13772.0
SRR1369902_finalmap_RG	196686.0	11412.0
SRR1369903_finalmap_RG	241128.0	14681.0
SRR1369904_finalmap_RG	249265.0	13754.0
SRR1369905_finalmap_RG	430297.0	15861.0
SRR1369906_finalmap_RG	236562.0	11920.0
SRR1369907_finalmap_RG	277035.0	12630.0
SRR1369908_finalmap_RG	302275.0	12084.0
SRR1369909_finalmap_RG	310341.0	12589.0
