Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
ERR1725673_finalmap_RG	ERR1725673_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	12610320.0	0.0	32-112	44.0	98.92522570103026	60.0765593577324	pass	fail	fail	pass	pass	pass	warn	pass	pass	pass	warn
ERR1725674_finalmap_RG	ERR1725674_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	12727068.0	0.0	24-112	44.0	98.88626916161763	60.079897270918956	pass	fail	fail	warn	pass	pass	warn	pass	pass	pass	warn
ERR1725675_finalmap_RG	ERR1725675_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	11068196.0	0.0	30-108	43.0	98.66169024538449	58.21940395706762	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn
ERR1725676_finalmap_RG	ERR1725676_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	10886134.0	0.0	31-108	43.0	98.65445600072324	58.22186021226636	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn
SRR10159711_finalmap_RG	SRR10159711_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	64214460.0	0.0	21-300	40.0	88.05291554992814	158.8073209056029	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass	warn
SRR10159715_finalmap_RG	SRR10159715_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	37146681.0	0.0	20-300	40.0	90.53071907140158	160.7912709617314	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn
SRR10159716_finalmap_RG	SRR10159716_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	112778355.0	0.0	19-296	41.0	84.22918122209721	156.0088209745567	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn
SRR10159719_finalmap_RG	SRR10159719_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	36905380.0	0.0	19-296	40.0	91.48432897784572	156.5673739709495	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn
SRR10159723_finalmap_RG	SRR10159723_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	84149843.0	0.0	20-300	40.0	87.7318884007314	157.60251564581054	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass	pass
SRR10160650_finalmap_RG	SRR10160650_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	4346982.0	0.0	30-286	39.0	98.10332157658972	123.90307666330341	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn
SRR10160651_finalmap_RG	SRR10160651_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	3693480.0	0.0	29-286	40.0	95.4029104535642	146.0152395572739	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass	warn
SRR10160652_finalmap_RG	SRR10160652_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	2811657.0	0.0	22-286	39.0	94.76821493490732	145.10012672242738	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass	warn
SRR10160653_finalmap_RG	SRR10160653_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	16788937.0	0.0	30-286	39.0	93.59916828408383	144.1216224707973	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn
SRR10160654_finalmap_RG	SRR10160654_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	13917860.0	0.0	30-286	42.0	92.48530985280028	119.42053526907154	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn
SRR10160655_finalmap_RG	SRR10160655_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	13195648.0	0.0	23-286	41.0	95.23793658362169	120.69995440921127	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass	fail
SRR10160656_finalmap_RG	SRR10160656_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	12574246.0	0.0	30-286	41.0	92.92153640713133	119.48005582203497	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn
SRR10160658_finalmap_RG	SRR10160658_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	9015968.0	0.0	30-286	41.0	96.54106420580429	148.75667415855958	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass	fail
SRR10160659_finalmap_RG	SRR10160659_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	17333819.0	0.0	30-286	39.0	92.89333197555682	144.17941239607958	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn
SRR10160660_finalmap_RG	SRR10160660_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	8461544.0	0.0	30-286	41.0	96.59473942757708	146.5569819172482	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn
SRR10160661_finalmap_RG	SRR10160661_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	8232518.0	0.0	30-286	40.0	92.8657448591006	139.78580052907265	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn
SRR10160662_finalmap_RG	SRR10160662_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	9153302.0	0.0	30-286	41.0	93.76749451501716	140.44547781773178	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass	fail
SRR10160663_finalmap_RG	SRR10160663_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	8724472.0	0.0	30-286	41.0	93.9935340690482	141.12177172440923	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn
SRR10160664_finalmap_RG	SRR10160664_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	13261780.0	0.0	30-294	41.0	96.25086165951313	160.3369414965412	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn
SRR10160665_finalmap_RG	SRR10160665_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	11004358.0	0.0	30-294	40.0	96.72650670462252	166.08928153736912	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass	fail
SRR10160666_finalmap_RG	SRR10160666_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	11434548.0	0.0	20-294	41.0	96.53720748617913	163.28395000834314	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass	fail
SRR10160667_finalmap_RG	SRR10160667_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	7831515.0	0.0	25-286	49.0	87.99053005895318	109.71051539836162	pass	pass	pass	pass	fail	pass	warn	pass	pass	pass	warn
SRR10160669_finalmap_RG	SRR10160669_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	16002191.0	0.0	20-286	46.0	79.66868281833219	108.46278787698509	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	warn
SRR10160670_finalmap_RG	SRR10160670_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	17114364.0	0.0	30-286	39.0	93.07764537125706	145.4886446846637	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn
SRR10160671_finalmap_RG	SRR10160671_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	9266055.0	0.0	30-286	41.0	94.94879123532517	142.1563088067144	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn
SRR10160673_finalmap_RG	SRR10160673_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	6917466.0	0.0	30-286	40.0	94.13805995963398	148.44949393318305	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass	warn
SRR10160674_finalmap_RG	SRR10160674_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	15288809.0	0.0	30-294	40.0	95.84737077278884	153.0168135398905	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn
SRR10160680_finalmap_RG	SRR10160680_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	11561171.0	0.0	26-484	41.0	97.04765844979188	155.02632873434706	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass	fail
SRR10160681_finalmap_RG	SRR10160681_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	11708940.0	0.0	26-286	41.0	95.44268427116096	142.9802281846179	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass	warn
SRR10160682_finalmap_RG	SRR10160682_finalmap_RG.bam	Conventional base calls	Sanger / Illumina 1.9	10533027.0	0.0	19-484	40.0	96.40486315872798	153.11036305138114	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn
