# BUSCO version is: 3.0.2 
# The lineage dataset is: arthropoda_odb9 (Creation date: 2017-02-07, number of species: 60, number of BUSCOs: 1066)
# To reproduce this run: python /usr/local/bin/run_BUSCO.py -i Daphnia.cds.aed.0.6.fasta -o output -l arthropoda_odb9/ -m transcriptome -c 1
#
# Busco id	Status	Sequence	Score	Length
EOG090X0007	Complete	Daphnia03088-RA	5763.9	4353
EOG090X002Z	Complete	Daphnia01712-RA	3017.2	1798
EOG090X005G	Complete	Daphnia12070-RA	2988.5	1934
EOG090X005Q	Complete	Daphnia11888-RA	1402.1	1174
EOG090X0064	Complete	Daphnia11897-RA	3184.5	1509
EOG090X00BV	Duplicated	Daphnia02266-RA	1262.0	930
EOG090X00BV	Duplicated	Daphnia02266-RB	1213.4	930
EOG090X00BY	Complete	Daphnia05412-RA	2851.0	1645
EOG090X00DN	Complete	Daphnia08682-RA	1755.1	1043
EOG090X00E0	Complete	Daphnia03865-RA	816.0	872
EOG090X00FC	Duplicated	Daphnia08957-RA	1056.4	658
EOG090X00FC	Duplicated	Daphnia08957-RB	1056.4	658
EOG090X00GC	Complete	Daphnia13028-RA	1925.9	861
EOG090X00GO	Complete	Daphnia12134-RA	2250.2	1030
EOG090X00HD	Complete	Daphnia06151-RA	1551.1	959
EOG090X00HY	Duplicated	Daphnia08920-RA	1693.7	1083
EOG090X00HY	Duplicated	Daphnia08920-RB	1719.9	1083
EOG090X00HY	Duplicated	Daphnia08920-RC	1719.6	1083
EOG090X00I4	Complete	Daphnia05607-RA	912.3	724
EOG090X00J5	Complete	Daphnia04211-RA	1527.6	940
EOG090X00JH	Duplicated	Daphnia06595-RB	506.0	311
EOG090X00JH	Duplicated	Daphnia06595-RC	509.2	311
EOG090X00LI	Duplicated	Daphnia04313-RA	1761.7	950
EOG090X00LI	Duplicated	Daphnia04313-RB	1761.7	950
EOG090X00M6	Duplicated	Daphnia01180-RB	1344.7	855
EOG090X00M6	Duplicated	Daphnia01180-RC	1281.4	838
EOG090X00MP	Complete	Daphnia12843-RA	855.3	522
EOG090X00NX	Complete	Daphnia04905-RA	1257.1	835
EOG090X00PD	Complete	Daphnia04543-RA	565.3	829
EOG090X00QE	Missing
EOG090X00QS	Complete	Daphnia09726-RA	754.2	660
EOG090X00RF	Duplicated	Daphnia06382-RA	1207.2	1176
EOG090X00RF	Duplicated	Daphnia07935-RA	1208.5	1356
EOG090X00RJ	Complete	Daphnia10147-RA	1664.9	874
EOG090X00SQ	Complete	Daphnia01550-RA	1007.4	739
EOG090X00ST	Complete	Daphnia02511-RA	1187.2	714
EOG090X00TB	Complete	Daphnia10659-RA	1447.1	1167
EOG090X00U2	Complete	Daphnia07521-RA	735.4	562
EOG090X00U8	Complete	Daphnia02507-RA	1673.7	986
EOG090X00V6	Duplicated	Daphnia11654-RA	1717.0	865
EOG090X00V6	Duplicated	Daphnia11654-RB	1717.0	865
EOG090X00V6	Duplicated	Daphnia11654-RC	1717.0	865
EOG090X00VK	Complete	Daphnia10581-RA	902.6	783
EOG090X00WU	Duplicated	Daphnia13388-RA	1217.7	728
EOG090X00WU	Duplicated	Daphnia13388-RB	1217.7	728
EOG090X00X3	Complete	Daphnia06716-RA	715.9	687
EOG090X0109	Complete	Daphnia09517-RA	1469.8	730
EOG090X010S	Complete	Daphnia12520-RA	1702.1	1227
EOG090X0131	Complete	Daphnia12753-RA	699.0	641
EOG090X013U	Complete	Daphnia00127-RB	411.3	533
EOG090X0141	Complete	Daphnia09000-RA	495.6	270
EOG090X0143	Complete	Daphnia02668-RA	1176.5	854
EOG090X014A	Complete	Daphnia01515-RA	1325.9	739
EOG090X014D	Duplicated	Daphnia10544-RA	1062.5	744
EOG090X014D	Duplicated	Daphnia10544-RB	1062.5	744
EOG090X014D	Duplicated	Daphnia10544-RC	1062.5	744
EOG090X014G	Complete	Daphnia10951-RA	1447.4	820
EOG090X0154	Complete	Daphnia13515-RA	1145.0	860
EOG090X015P	Duplicated	Daphnia13120-RA	924.9	620
EOG090X015P	Duplicated	Daphnia13120-RB	924.9	620
EOG090X017M	Complete	Daphnia02189-RB	713.3	612
EOG090X017N	Complete	Daphnia07296-RB	335.2	416
EOG090X017X	Complete	Daphnia13141-RA	1464.2	823
EOG090X0181	Complete	Daphnia02380-RA	988.5	670
EOG090X018J	Complete	Daphnia06079-RA	708.1	469
EOG090X019S	Complete	Daphnia12884-RA	529.7	598
EOG090X01A3	Complete	Daphnia06695-RA	993.4	615
EOG090X01AN	Complete	Daphnia03420-RA	472.2	427
EOG090X01B4	Complete	Daphnia11081-RA	1038.3	577
EOG090X01BP	Complete	Daphnia01505-RA	249.8	240
EOG090X01BU	Duplicated	Daphnia10135-RA	776.4	674
EOG090X01BU	Duplicated	Daphnia10135-RB	776.4	674
EOG090X01EL	Complete	Daphnia01114-RA	1075.3	627
EOG090X01EZ	Duplicated	Daphnia03625-RA	1133.6	644
EOG090X01EZ	Duplicated	Daphnia03625-RB	1130.2	644
EOG090X01F7	Duplicated	Daphnia07784-RA	903.6	655
EOG090X01F7	Duplicated	Daphnia07784-RB	903.6	655
EOG090X01FD	Complete	Daphnia06320-RA	688.6	726
EOG090X01FO	Complete	Daphnia11257-RA	1436.0	743
EOG090X01G2	Complete	Daphnia11013-RA	985.6	611
EOG090X01H4	Complete	Daphnia08605-RA	468.8	521
EOG090X01HT	Complete	Daphnia12943-RA	1058.4	624
EOG090X01LO	Complete	Daphnia11609-RA	474.2	268
EOG090X01LQ	Complete	Daphnia09844-RA	185.5	182
EOG090X01LU	Complete	Daphnia10804-RA	1257.0	605
EOG090X01LY	Complete	Daphnia08154-RA	691.1	466
EOG090X01MR	Complete	Daphnia06227-RA	513.3	596
EOG090X01NK	Complete	Daphnia07498-RA	1047.6	717
EOG090X01NX	Duplicated	Daphnia05193-RA	1244.1	675
EOG090X01NX	Duplicated	Daphnia05193-RB	1244.1	675
EOG090X01NX	Duplicated	Daphnia05193-RC	1244.1	675
EOG090X01OH	Complete	Daphnia01287-RA	411.4	235
EOG090X01OT	Complete	Daphnia12846-RA	482.6	274
EOG090X01QS	Complete	Daphnia13041-RA	584.8	343
EOG090X01QX	Duplicated	Daphnia04638-RA	151.4	116
EOG090X01QX	Duplicated	Daphnia04638-RB	151.4	116
EOG090X01R0	Duplicated	Daphnia05650-RA	1020.2	747
EOG090X01R0	Duplicated	Daphnia05650-RB	1020.9	748
EOG090X01R1	Complete	Daphnia01713-RA	1025.5	580
EOG090X01SN	Complete	Daphnia03162-RA	854.2	575
EOG090X01U4	Complete	Daphnia04030-RA	781.1	519
EOG090X01UE	Complete	Daphnia07432-RB	976.1	565
EOG090X01UY	Complete	Daphnia01641-RA	963.8	594
EOG090X01V1	Complete	Daphnia11051-RA	1026.0	601
EOG090X01W2	Complete	Daphnia03128-RA	661.7	362
EOG090X01XB	Complete	Daphnia02483-RA	261.0	248
EOG090X01YQ	Complete	Daphnia03771-RA	948.3	566
EOG090X0205	Complete	Daphnia09862-RA	690.2	442
EOG090X020Y	Duplicated	Daphnia12645-RA	269.7	130
EOG090X020Y	Duplicated	Daphnia12645-RB	269.7	130
EOG090X020Z	Complete	Daphnia03336-RA	249.0	225
EOG090X021B	Complete	Daphnia03646-RA	489.5	455
EOG090X023B	Complete	Daphnia11372-RA	566.9	416
EOG090X024P	Complete	Daphnia10558-RA	943.6	673
EOG090X0266	Complete	Daphnia08329-RA	753.2	641
EOG090X0267	Complete	Daphnia09807-RA	684.9	603
EOG090X026K	Complete	Daphnia06463-RA	1012.5	621
EOG090X026V	Complete	Daphnia08963-RA	430.9	335
EOG090X0272	Complete	Daphnia03063-RA	626.1	427
EOG090X0279	Complete	Daphnia13004-RA	971.7	528
EOG090X027A	Complete	Daphnia05500-RA	776.6	577
EOG090X027R	Complete	Daphnia13557-RA	931.2	554
EOG090X027U	Complete	Daphnia04335-RA	407.6	435
EOG090X0289	Complete	Daphnia13131-RA	620.8	613
EOG090X028A	Complete	Daphnia04985-RG	657.4	473
EOG090X028B	Complete	Daphnia03360-RA	340.5	359
EOG090X028J	Complete	Daphnia10365-RA	330.7	253
EOG090X0294	Duplicated	Daphnia08497-RA	1135.9	659
EOG090X0294	Duplicated	Daphnia08497-RB	1135.9	659
EOG090X0296	Complete	Daphnia06589-RA	901.8	604
EOG090X02BU	Duplicated	Daphnia13212-RA	789.1	491
EOG090X02BU	Duplicated	Daphnia13212-RB	827.3	515
EOG090X02BW	Complete	Daphnia04991-RA	716.9	562
EOG090X02C6	Complete	Daphnia11007-RA	735.1	490
EOG090X02CC	Complete	Daphnia04819-RA	984.5	629
EOG090X02D0	Missing
EOG090X02DA	Complete	Daphnia03381-RA	790.5	491
EOG090X02DF	Complete	Daphnia06100-RA	1007.1	491
EOG090X02DX	Duplicated	Daphnia11664-RA	508.7	270
EOG090X02DX	Duplicated	Daphnia11664-RG	508.7	270
EOG090X02DX	Duplicated	Daphnia11664-RJ	508.7	270
EOG090X02DZ	Complete	Daphnia06332-RA	950.4	618
EOG090X02EM	Complete	Daphnia10649-RA	684.6	569
EOG090X02EP	Complete	Daphnia03762-RA	898.2	543
EOG090X02FO	Complete	Daphnia10490-RA	516.6	371
EOG090X02G1	Complete	Daphnia10845-RA	922.6	605
EOG090X02H3	Duplicated	Daphnia08499-RA	212.3	229
EOG090X02H3	Duplicated	Daphnia08499-RB	212.3	229
EOG090X02H3	Duplicated	Daphnia08499-RC	212.3	229
EOG090X02H9	Complete	Daphnia00678-RA	904.6	743
EOG090X02HV	Complete	Daphnia06450-RA	649.8	638
EOG090X02I4	Duplicated	Daphnia07157-RA	428.9	451
EOG090X02I4	Duplicated	Daphnia11314-RA	452.5	328
EOG090X02I4	Duplicated	Daphnia11314-RB	398.0	305
EOG090X02IK	Complete	Daphnia11405-RA	510.8	350
EOG090X02IW	Missing
